75457,Mount Vernon,Texas ,FRANKLIN,48,159,TX 
75458,Merit,Texas ,HUNT,48,231,TX 
75460,Paris,Texas ,LAMAR,48,277,TX 
75459,Howe,Texas ,GRAYSON,48,181,TX 
75461,Paris,Texas ,LAMAR,48,277,TX 
75462,Paris,Texas ,LAMAR,48,277,TX 
75470,Petty,Texas ,LAMAR,48,277,TX 
75468,Pattonville,Texas ,LAMAR,48,277,TX 
75473,Powderly,Texas ,LAMAR,48,277,TX 
75471,Pickton,Texas ,HOPKINS,48,223,TX 
75469,Pecan Gap,Texas ,DELTA,48,119,TX 
75472,Point,Texas ,RAINS,48,379,TX 
75474,Quinlan,Texas ,HUNT,48,231,TX 
75475,Randolph,Texas ,FANNIN,48,147,TX 
75481,Sulphur Bluff,Texas ,HOPKINS,48,223,TX 
75477,Roxton,Texas ,LAMAR,48,277,TX 
75478,Saltillo,Texas ,HOPKINS,48,223,TX 
75480,Scroggins,Texas ,FRANKLIN,48,159,TX 
75479,Savoy,Texas ,FANNIN,48,147,TX 
75476,Ravenna,Texas ,FANNIN,48,147,TX 
75482,Sulphur Springs,Texas ,HOPKINS,48,223,TX 
75483,Sulphur Springs,Texas ,HOPKINS,48,223,TX 
75490,Trenton,Texas ,FANNIN,48,147,TX 
75487,Talco,Texas ,FRANKLIN,48,159,TX 
75488,Telephone,Texas ,FANNIN,48,147,TX 
75489,Tom Bean,Texas ,GRAYSON,48,181,TX 
75485,Westminster,Texas ,COLLIN,48,085,TX 
75486,Sumner,Texas ,LAMAR,48,277,TX 
75491,Whitewright,Texas ,GRAYSON,48,181,TX 
75492,Windom,Texas ,FANNIN,48,147,TX 
75501,Texarkana,Texas ,BOWIE,48,037,TX 
75494,Winnsboro,Texas ,WOOD,48,499,TX 
75504,Texarkana,Texas ,BOWIE,48,037,TX 
75497,Yantis,Texas ,WOOD,48,499,TX 
75503,Texarkana,Texas ,BOWIE,48,037,TX 
75493,Winfield,Texas ,TITUS,48,449,TX 
75496,Wolfe City,Texas ,HUNT,48,231,TX 
75495,Van Alstyne,Texas ,GRAYSON,48,181,TX 
75507,Texarkana,Texas ,BOWIE,48,037,TX 
75554,Avery,Texas ,RED RIVER,48,387,TX 
75558,Cookville,Texas ,TITUS,48,449,TX 
75505,Texarkana,Texas ,BOWIE,48,037,TX 
75555,Bivins,Texas ,CASS,48,067,TX 
75551,Atlanta,Texas ,CASS,48,067,TX 
75550,Annona,Texas ,RED RIVER,48,387,TX 
75556,Bloomburg,Texas ,CASS,48,067,TX 
75559,De Kalb,Texas ,BOWIE,48,037,TX 
75564,Lodi,Texas ,MARION,48,315,TX 
75560,Douglassville,Texas ,CASS,48,067,TX 
75565,Mc Leod,Texas ,CASS,48,067,TX 
75561,Hooks,Texas ,BOWIE,48,037,TX 
75566,Marietta,Texas ,CASS,48,067,TX 
75563,Linden,Texas ,CASS,48,067,TX 
75562,Kildare,Texas ,CASS,48,067,TX 
75567,Maud,Texas ,BOWIE,48,037,TX 
75568,Naples,Texas ,MORRIS,48,343,TX 
75569,Nash,Texas ,BOWIE,48,037,TX 
75570,New Boston,Texas ,BOWIE,48,037,TX 
75573,Redwater,Texas ,BOWIE,48,037,TX 
75574,Simms,Texas ,BOWIE,48,037,TX 
75571,Omaha,Texas ,MORRIS,48,343,TX 
75572,Queen City,Texas ,CASS,48,067,TX 
75599,Texarkana,Texas ,BOWIE,48,037,TX 
75601,Longview,Texas ,GREGG,48,183,TX 
75602,Longview,Texas ,GREGG,48,183,TX 
75603,Longview,Texas ,GREGG,48,183,TX 
75606,Longview,Texas ,GREGG,48,183,TX 
75604,Longview,Texas ,GREGG,48,183,TX 
75607,Longview,Texas ,GREGG,48,183,TX 
75605,Longview,Texas ,GREGG,48,183,TX 
75608,Longview,Texas ,GREGG,48,183,TX 
75615,Longview,Texas ,GREGG,48,183,TX 
75630,Avinger,Texas ,CASS,48,067,TX 
75631,Beckville,Texas ,PANOLA,48,365,TX 
75633,Carthage,Texas ,PANOLA,48,365,TX 
75638,Daingerfield,Texas ,MORRIS,48,343,TX 
75636,Cason,Texas ,MORRIS,48,343,TX 
75637,Clayton,Texas ,PANOLA,48,365,TX 
75640,Diana,Texas ,UPSHUR,48,459,TX 
75639,De Berry,Texas ,PANOLA,48,365,TX 
75641,Easton,Texas ,GREGG,48,183,TX 
75642,Elysian Fields,Texas ,HARRISON,48,203,TX 
75647,Gladewater,Texas ,GREGG,48,183,TX 
75643,Gary,Texas ,PANOLA,48,365,TX 
75644,Gilmer,Texas ,UPSHUR,48,459,TX 
75650,Hallsville,Texas ,HARRISON,48,203,TX 
75645,Gilmer,Texas ,UPSHUR,48,459,TX 
75651,Harleton,Texas ,HARRISON,48,203,TX 
75652,Henderson,Texas ,RUSK,48,401,TX 
75653,Henderson,Texas ,RUSK,48,401,TX 
75657,Jefferson,Texas ,MARION,48,315,TX 
75654,Henderson,Texas ,RUSK,48,401,TX 
75656,Hughes Springs,Texas ,CASS,48,067,TX 
75658,Joinerville,Texas ,RUSK,48,401,TX 
75659,Jonesville,Texas ,HARRISON,48,203,TX 
75660,Judson,Texas ,GREGG,48,183,TX 
75661,Karnack,Texas ,HARRISON,48,203,TX 
75662,Kilgore,Texas ,GREGG,48,183,TX 
75663,Kilgore,Texas ,GREGG,48,183,TX 
75669,Long Branch,Texas ,PANOLA,48,365,TX 
75666,Laird Hill,Texas ,RUSK,48,401,TX 
75667,Laneville,Texas ,RUSK,48,401,TX 
75668,Lone Star,Texas ,MORRIS,48,343,TX 
75670,Marshall,Texas ,HARRISON,48,203,TX 
75672,Marshall,Texas ,HARRISON,48,203,TX 
75671,Marshall,Texas ,HARRISON,48,203,TX 
75680,Minden,Texas ,RUSK,48,401,TX 
75684,Overton,Texas ,RUSK,48,401,TX 
75682,New London,Texas ,RUSK,48,401,TX 
75683,Ore City,Texas ,UPSHUR,48,459,TX 
75681,Mount Enterprise,Texas ,RUSK,48,401,TX 
75685,Panola,Texas ,PANOLA,48,365,TX 
75687,Price,Texas ,RUSK,48,401,TX 
75686,Pittsburg,Texas ,CAMP,48,063,TX 
75691,Tatum,Texas ,RUSK,48,401,TX 
75688,Scottsville,Texas ,HARRISON,48,203,TX 
75689,Selman City,Texas ,RUSK,48,401,TX 
75693,White Oak,Texas ,GREGG,48,183,TX 
75692,Waskom,Texas ,HARRISON,48,203,TX 
75694,Woodlawn,Texas ,HARRISON,48,203,TX 
75701,Tyler,Texas ,SMITH,48,423,TX 
75702,Tyler,Texas ,SMITH,48,423,TX 
75703,Tyler,Texas ,SMITH,48,423,TX 
75704,Tyler,Texas ,SMITH,48,423,TX 
75706,Tyler,Texas ,SMITH,48,423,TX 
75707,Tyler,Texas ,SMITH,48,423,TX 
75705,Tyler,Texas ,SMITH,48,423,TX 
75709,Tyler,Texas ,SMITH,48,423,TX 
75708,Tyler,Texas ,SMITH,48,423,TX 
75710,Tyler,Texas ,SMITH,48,423,TX 
75711,Tyler,Texas ,SMITH,48,423,TX 
75712,Tyler,Texas ,SMITH,48,423,TX 
75750,Arp,Texas ,SMITH,48,423,TX 
75752,Athens,Texas ,HENDERSON,48,213,TX 
75751,Athens,Texas ,HENDERSON,48,213,TX 
75713,Tyler,Texas ,SMITH,48,423,TX 
75755,Big Sandy,Texas ,UPSHUR,48,459,TX 
75754,Ben Wheeler,Texas ,VAN ZANDT,48,467,TX 
75756,Brownsboro,Texas ,HENDERSON,48,213,TX 
75757,Bullard,Texas ,SMITH,48,423,TX 
75758,Chandler,Texas ,HENDERSON,48,213,TX 
75759,Cuney,Texas ,CHEROKEE,48,073,TX 
75762,Flint,Texas ,SMITH,48,423,TX 
75760,Cushing,Texas ,NACOGDOCHES,48,347,TX 
75764,Gallatin,Texas ,CHEROKEE,48,073,TX 
75763,Frankston,Texas ,ANDERSON,48,001,TX 
75765,Hawkins,Texas ,WOOD,48,499,TX 
75766,Jacksonville,Texas ,CHEROKEE,48,073,TX 
75771,Lindale,Texas ,SMITH,48,423,TX 
75772,Maydelle,Texas ,CHEROKEE,48,073,TX 
75773,Mineola,Texas ,WOOD,48,499,TX 
75770,Larue,Texas ,HENDERSON,48,213,TX 
75778,Murchison,Texas ,HENDERSON,48,213,TX 
75779,Neches,Texas ,ANDERSON,48,001,TX 
75782,Poynor,Texas ,HENDERSON,48,213,TX 
75780,New Summerfield,Texas ,CHEROKEE,48,073,TX 
75783,Quitman,Texas ,WOOD,48,499,TX 
75785,Rusk,Texas ,CHEROKEE,48,073,TX 
75789,Troup,Texas ,SMITH,48,423,TX 
75790,Van,Texas ,VAN ZANDT,48,467,TX 
75788,Sacul,Texas ,NACOGDOCHES,48,347,TX 
75784,Reklaw,Texas ,CHEROKEE,48,073,TX 
75791,Whitehouse,Texas ,SMITH,48,423,TX 
75792,Winona,Texas ,SMITH,48,423,TX 
75797,Big Sandy,Texas ,UPSHUR,48,459,TX 
75798,Tyler,Texas ,SMITH,48,423,TX 
75801,Palestine,Texas ,ANDERSON,48,001,TX 
75799,Tyler,Texas ,SMITH,48,423,TX 
75802,Palestine,Texas ,ANDERSON,48,001,TX 
75831,Buffalo,Texas ,LEON,48,289,TX 
75803,Palestine,Texas ,ANDERSON,48,001,TX 
75832,Cayuga,Texas ,ANDERSON,48,001,TX 
75833,Centerville,Texas ,LEON,48,289,TX 
75834,Centralia,Texas ,TRINITY,48,455,TX 
75838,Donie,Texas ,FREESTONE,48,161,TX 
75835,Crockett,Texas ,HOUSTON,48,225,TX 
75839,Elkhart,Texas ,ANDERSON,48,001,TX 
75844,Grapeland,Texas ,HOUSTON,48,225,TX 
75840,Fairfield,Texas ,FREESTONE,48,161,TX 
75846,Jewett,Texas ,LEON,48,289,TX 
75845,Groveton,Texas ,TRINITY,48,455,TX 
75847,Kennard,Texas ,HOUSTON,48,225,TX 
75848,Kirvin,Texas ,FREESTONE,48,161,TX 
75852,Midway,Texas ,MADISON,48,313,TX 
75850,Leona,Texas ,LEON,48,289,TX 
75855,Oakwood,Texas ,LEON,48,289,TX 
75853,Montalba,Texas ,ANDERSON,48,001,TX 
75851,Lovelady,Texas ,HOUSTON,48,225,TX 
75849,Latexo,Texas ,HOUSTON,48,225,TX 
75856,Pennington,Texas ,TRINITY,48,455,TX 
75860,Teague,Texas ,FREESTONE,48,161,TX 
75858,Ratcliff,Texas ,HOUSTON,48,225,TX 
75862,Trinity,Texas ,TRINITY,48,455,TX 
75859,Streetman,Texas ,FREESTONE,48,161,TX 
75880,Tennessee Colony,Texas ,ANDERSON,48,001,TX 
75865,Woodlake,Texas ,TRINITY,48,455,TX 
75861,Tennessee Colony,Texas ,ANDERSON,48,001,TX 
75882,Palestine,Texas ,ANDERSON,48,001,TX 
75884,Tennessee Colony,Texas ,ANDERSON,48,001,TX 
75886,Tennessee Colony,Texas ,ANDERSON,48,001,TX 
75902,Lufkin,Texas ,ANGELINA,48,005,TX 
75903,Lufkin,Texas ,ANGELINA,48,005,TX 
75901,Lufkin,Texas ,ANGELINA,48,005,TX 
75925,Alto,Texas ,CHEROKEE,48,073,TX 
75904,Lufkin,Texas ,ANGELINA,48,005,TX 
75915,Lufkin,Texas ,ANGELINA,48,005,TX 
75926,Apple Springs,Texas ,TRINITY,48,455,TX 
75928,Bon Wier,Texas ,NEWTON,48,351,TX 
75930,Bronson,Texas ,SABINE,48,403,TX 
