57301,Mitchell,South Dakota ,DAVISON,46,035,SD 
57313,Armour,South Dakota ,DOUGLAS,46,043,SD 
57315,Avon,South Dakota ,BON HOMME,46,009,SD 
57312,Alpena,South Dakota ,JERAULD,46,073,SD 
57314,Artesian,South Dakota ,SANBORN,46,111,SD 
57317,Bonesteel,South Dakota ,GREGORY,46,053,SD 
57321,Canova,South Dakota ,MINER,46,097,SD 
57319,Bridgewater,South Dakota ,MCCOOK,46,087,SD 
57323,Carthage,South Dakota ,MINER,46,097,SD 
57322,Carpenter,South Dakota ,CLARK,46,025,SD 
57324,Cavour,South Dakota ,BEADLE,46,005,SD 
57326,Chamberlain,South Dakota ,BRULE,46,015,SD 
57329,Dante,South Dakota ,CHARLES MIX,46,023,SD 
57328,Corsica,South Dakota ,DOUGLAS,46,043,SD 
57325,Chamberlain,South Dakota ,BRULE,46,015,SD 
57330,Delmont,South Dakota ,DOUGLAS,46,043,SD 
57332,Emery,South Dakota ,HANSON,46,061,SD 
57331,Dimock,South Dakota ,HUTCHINSON,46,067,SD 
57334,Ethan,South Dakota ,DAVISON,46,035,SD 
57337,Fedora,South Dakota ,MINER,46,097,SD 
57335,Fairfax,South Dakota ,GREGORY,46,053,SD 
57342,Geddes,South Dakota ,CHARLES MIX,46,023,SD 
57344,Harrison,South Dakota ,DOUGLAS,46,043,SD 
57339,Fort Thompson,South Dakota ,BUFFALO,46,017,SD 
57341,Gann Valley,South Dakota ,BUFFALO,46,017,SD 
57340,Fulton,South Dakota ,HANSON,46,061,SD 
57345,Highmore,South Dakota ,HYDE,46,069,SD 
57349,Howard,South Dakota ,MINER,46,097,SD 
57354,Kaylor,South Dakota ,HUTCHINSON,46,067,SD 
57355,Kimball,South Dakota ,BRULE,46,015,SD 
57348,Hitchcock,South Dakota ,BEADLE,46,005,SD 
57353,Iroquois,South Dakota ,KINGSBURY,46,077,SD 
57350,Huron,South Dakota ,BEADLE,46,005,SD 
57346,Stephan,South Dakota ,HYDE,46,069,SD 
57356,Lake Andes,South Dakota ,CHARLES MIX,46,023,SD 
57359,Letcher,South Dakota ,SANBORN,46,111,SD 
57363,Mount Vernon,South Dakota ,DAVISON,46,035,SD 
57358,Lane,South Dakota ,JERAULD,46,073,SD 
57365,Oacoma,South Dakota ,LYMAN,46,085,SD 
57362,Miller,South Dakota ,HAND,46,059,SD 
57364,New Holland,South Dakota ,DOUGLAS,46,043,SD 
57361,Marty,South Dakota ,CHARLES MIX,46,023,SD 
57366,Parkston,South Dakota ,HUTCHINSON,46,067,SD 
57367,Pickstown,South Dakota ,CHARLES MIX,46,023,SD 
57368,Plankinton,South Dakota ,AURORA,46,003,SD 
57370,Pukwana,South Dakota ,BRULE,46,015,SD 
57374,Spencer,South Dakota ,MCCOOK,46,087,SD 
57371,Ree Heights,South Dakota ,HAND,46,059,SD 
57375,Stickney,South Dakota ,AURORA,46,003,SD 
57373,Saint Lawrence,South Dakota ,HAND,46,059,SD 
57369,Platte,South Dakota ,CHARLES MIX,46,023,SD 
57376,Tripp,South Dakota ,HUTCHINSON,46,067,SD 
57379,Virgil,South Dakota ,BEADLE,46,005,SD 
57385,Woonsocket,South Dakota ,SANBORN,46,111,SD 
57380,Wagner,South Dakota ,CHARLES MIX,46,023,SD 
57384,Wolsey,South Dakota ,BEADLE,46,005,SD 
57381,Wessington,South Dakota ,BEADLE,46,005,SD 
57386,Yale,South Dakota ,BEADLE,46,005,SD 
57382,Wessington Springs,South Dakota ,JERAULD,46,073,SD 
57383,White Lake,South Dakota ,AURORA,46,003,SD 
57399,Huron,South Dakota ,BEADLE,46,005,SD 
57402,Aberdeen,South Dakota ,BROWN,46,013,SD 
57421,Amherst,South Dakota ,MARSHALL,46,091,SD 
57426,Barnard,South Dakota ,BROWN,46,013,SD 
57401,Aberdeen,South Dakota ,BROWN,46,013,SD 
57420,Akaska,South Dakota ,WALWORTH,46,129,SD 
57422,Andover,South Dakota ,DAY,46,037,SD 
57424,Ashton,South Dakota ,SPINK,46,115,SD 
57427,Bath,South Dakota ,BROWN,46,013,SD 
57435,Cresbard,South Dakota ,FAULK,46,049,SD 
57428,Bowdle,South Dakota ,EDMUNDS,46,045,SD 
57433,Columbia,South Dakota ,BROWN,46,013,SD 
57430,Britton,South Dakota ,MARSHALL,46,091,SD 
57429,Brentford,South Dakota ,SPINK,46,115,SD 
57434,Conde,South Dakota ,SPINK,46,115,SD 
57432,Claremont,South Dakota ,BROWN,46,013,SD 
57436,Doland,South Dakota ,SPINK,46,115,SD 
57440,Frankfort,South Dakota ,SPINK,46,115,SD 
57437,Eureka,South Dakota ,MCPHERSON,46,089,SD 
57438,Faulkton,South Dakota ,FAULK,46,049,SD 
57445,Groton,South Dakota ,BROWN,46,013,SD 
57442,Gettysburg,South Dakota ,POTTER,46,107,SD 
57441,Frederick,South Dakota ,BROWN,46,013,SD 
57439,Ferney,South Dakota ,BROWN,46,013,SD 
57446,Hecla,South Dakota ,BROWN,46,013,SD 
57448,Hosmer,South Dakota ,EDMUNDS,46,045,SD 
57452,Java,South Dakota ,WALWORTH,46,129,SD 
57450,Hoven,South Dakota ,POTTER,46,107,SD 
57451,Ipswich,South Dakota ,EDMUNDS,46,045,SD 
57454,Langford,South Dakota ,MARSHALL,46,091,SD 
57456,Leola,South Dakota ,MCPHERSON,46,089,SD 
57449,Houghton,South Dakota ,BROWN,46,013,SD 
57455,Lebanon,South Dakota ,POTTER,46,107,SD 
57457,Long Lake,South Dakota ,MCPHERSON,46,089,SD 
57461,Mellette,South Dakota ,SPINK,46,115,SD 
57468,Pierpont,South Dakota ,DAY,46,037,SD 
57469,Redfield,South Dakota ,SPINK,46,115,SD 
