55407,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55409,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55412,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55410,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55411,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55408,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55413,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55414,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55420,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55416,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55419,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55415,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55417,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55418,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55421,Minneapolis,Minnesota ,ANOKA,27,003,MN 
55425,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55422,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55424,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55423,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55428,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55426,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55427,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55429,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55432,Minneapolis,Minnesota ,ANOKA,27,003,MN 
55434,Minneapolis,Minnesota ,ANOKA,27,003,MN 
55430,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55433,Minneapolis,Minnesota ,ANOKA,27,003,MN 
55436,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55431,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55436,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55435,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55437,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55440,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55438,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55444,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55441,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55439,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55442,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55443,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55445,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55446,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55447,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55454,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55448,Minneapolis,Minnesota ,ANOKA,27,003,MN 
55449,Minneapolis,Minnesota ,ANOKA,27,003,MN 
55450,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55455,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55458,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55459,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55472,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55474,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55480,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55478,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55470,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55467,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55479,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55483,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55484,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55485,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55487,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55569,Osseo,Minnesota ,HENNEPIN,27,053,MN 
55572,Rockford,Minnesota ,HENNEPIN,27,053,MN 
55554,Norwood,Minnesota ,CARVER,27,019,MN 
55486,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55573,Young America,Minnesota ,HENNEPIN,27,053,MN 
55488,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55575,Howard Lake,Minnesota ,HENNEPIN,27,053,MN 
55592,Maple Plain,Minnesota ,WRIGHT,27,171,MN 
55593,Maple Plain,Minnesota ,HENNEPIN,27,053,MN 
55577,Rockford,Minnesota ,HENNEPIN,27,053,MN 
55601,Beaver Bay,Minnesota ,LAKE,27,075,MN 
55602,Brimson,Minnesota ,SAINT LOUIS,27,137,MN 
55603,Finland,Minnesota ,LAKE,27,075,MN 
55612,Lutsen,Minnesota ,COOK,27,031,MN 
55607,Isabella,Minnesota ,LAKE,27,075,MN 
55604,Grand Marais,Minnesota ,COOK,27,031,MN 
55606,Hovland,Minnesota ,COOK,27,031,MN 
55599,Loretto,Minnesota ,HENNEPIN,27,053,MN 
55605,Grand Portage,Minnesota ,COOK,27,031,MN 
55609,Knife River,Minnesota ,LAKE,27,075,MN 
55613,Schroeder,Minnesota ,COOK,27,031,MN 
55614,Silver Bay,Minnesota ,LAKE,27,075,MN 
55703,Angora,Minnesota ,SAINT LOUIS,27,137,MN 
55705,Aurora,Minnesota ,SAINT LOUIS,27,137,MN 
55704,Askov,Minnesota ,PINE,27,115,MN 
55702,Alborn,Minnesota ,SAINT LOUIS,27,137,MN 
55615,Tofte,Minnesota ,COOK,27,031,MN 
55616,Two Harbors,Minnesota ,LAKE,27,075,MN 
55706,Babbitt,Minnesota ,SAINT LOUIS,27,137,MN 
55707,Barnum,Minnesota ,CARLTON,27,017,MN 
55709,Bovey,Minnesota ,ITASCA,27,061,MN 
55708,Biwabik,Minnesota ,SAINT LOUIS,27,137,MN 
55710,Britt,Minnesota ,SAINT LOUIS,27,137,MN 
55711,Brookston,Minnesota ,SAINT LOUIS,27,137,MN 
55712,Bruno,Minnesota ,PINE,27,115,MN 
55716,Calumet,Minnesota ,ITASCA,27,061,MN 
55713,Buhl,Minnesota ,SAINT LOUIS,27,137,MN 
55717,Canyon,Minnesota ,SAINT LOUIS,27,137,MN 
55718,Carlton,Minnesota ,CARLTON,27,017,MN 
55720,Cloquet,Minnesota ,CARLTON,27,017,MN 
55724,Cotton,Minnesota ,SAINT LOUIS,27,137,MN 
55719,Chisholm,Minnesota ,SAINT LOUIS,27,137,MN 
55721,Cohasset,Minnesota ,ITASCA,27,061,MN 
