68365,Grafton,Nebraska ,FILLMORE,31,059,NE 
68366,Greenwood,Nebraska ,CASS,31,025,NE 
68367,Gresham,Nebraska ,YORK,31,185,NE 
68372,Hickman,Nebraska ,LANCASTER,31,109,NE 
68368,Hallam,Nebraska ,LANCASTER,31,109,NE 
68375,Hubbell,Nebraska ,THAYER,31,169,NE 
68371,Henderson,Nebraska ,YORK,31,185,NE 
68370,Hebron,Nebraska ,THAYER,31,169,NE 
68376,Humboldt,Nebraska ,RICHARDSON,31,147,NE 
68377,Jansen,Nebraska ,JEFFERSON,31,095,NE 
68382,Lorton,Nebraska ,OTOE,31,131,NE 
68401,Mc Cool Junction,Nebraska ,YORK,31,185,NE 
68380,Lewiston,Nebraska ,PAWNEE,31,133,NE 
68402,Malcolm,Nebraska ,LANCASTER,31,109,NE 
68379,Julian,Nebraska ,NEMAHA,31,127,NE 
68378,Johnson,Nebraska ,NEMAHA,31,127,NE 
68403,Manley,Nebraska ,CASS,31,025,NE 
68381,Liberty,Nebraska ,GAGE,31,067,NE 
68405,Milford,Nebraska ,SEWARD,31,159,NE 
68407,Murdock,Nebraska ,CASS,31,025,NE 
68404,Martell,Nebraska ,LANCASTER,31,109,NE 
68414,Nemaha,Nebraska ,NEMAHA,31,127,NE 
68406,Milligan,Nebraska ,FILLMORE,31,059,NE 
68410,Nebraska City,Nebraska ,OTOE,31,131,NE 
68413,Nehawka,Nebraska ,CASS,31,025,NE 
68409,Murray,Nebraska ,CASS,31,025,NE 
68415,Odell,Nebraska ,GAGE,31,067,NE 
68416,Ohiowa,Nebraska ,FILLMORE,31,059,NE 
68418,Palmyra,Nebraska ,OTOE,31,131,NE 
68419,Panama,Nebraska ,LANCASTER,31,109,NE 
68420,Pawnee City,Nebraska ,PAWNEE,31,133,NE 
68417,Otoe,Nebraska ,OTOE,31,131,NE 
68422,Pickrell,Nebraska ,GAGE,31,067,NE 
68421,Peru,Nebraska ,NEMAHA,31,127,NE 
68424,Plymouth,Nebraska ,JEFFERSON,31,095,NE 
68423,Pleasant Dale,Nebraska ,SEWARD,31,159,NE 
68429,Reynolds,Nebraska ,THAYER,31,169,NE 
68428,Raymond,Nebraska ,LANCASTER,31,109,NE 
68434,Seward,Nebraska ,SEWARD,31,159,NE 
68430,Roca,Nebraska ,LANCASTER,31,109,NE 
68431,Rulo,Nebraska ,RICHARDSON,31,147,NE 
68433,Salem,Nebraska ,RICHARDSON,31,147,NE 
68436,Shickley,Nebraska ,FILLMORE,31,059,NE 
68437,Shubert,Nebraska ,RICHARDSON,31,147,NE 
68440,Steele City,Nebraska ,JEFFERSON,31,095,NE 
68439,Staplehurst,Nebraska ,SEWARD,31,159,NE 
68442,Stella,Nebraska ,RICHARDSON,31,147,NE 
68443,Sterling,Nebraska ,JOHNSON,31,097,NE 
68438,Sprague,Nebraska ,LANCASTER,31,109,NE 
68441,Steinauer,Nebraska ,PAWNEE,31,133,NE 
68444,Strang,Nebraska ,FILLMORE,31,059,NE 
68445,Swanton,Nebraska ,SALINE,31,151,NE 
68447,Table Rock,Nebraska ,PAWNEE,31,133,NE 
68450,Tecumseh,Nebraska ,JOHNSON,31,097,NE 
68446,Syracuse,Nebraska ,OTOE,31,131,NE 
68452,Ong,Nebraska ,CLAY,31,035,NE 
68448,Talmage,Nebraska ,OTOE,31,131,NE 
68453,Tobias,Nebraska ,SALINE,31,151,NE 
68455,Union,Nebraska ,CASS,31,025,NE 
68454,Unadilla,Nebraska ,OTOE,31,131,NE 
68457,Verdon,Nebraska ,RICHARDSON,31,147,NE 
68458,Virginia,Nebraska ,GAGE,31,067,NE 
68463,Weeping Water,Nebraska ,CASS,31,025,NE 
68464,Western,Nebraska ,SALINE,31,151,NE 
68456,Utica,Nebraska ,SEWARD,31,159,NE 
68462,Waverly,Nebraska ,LANCASTER,31,109,NE 
68460,Waco,Nebraska ,YORK,31,185,NE 
68461,Walton,Nebraska ,LANCASTER,31,109,NE 
68465,Wilber,Nebraska ,SALINE,31,151,NE 
68466,Wymore,Nebraska ,GAGE,31,067,NE 
68505,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68501,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68502,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68503,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68467,York,Nebraska ,YORK,31,185,NE 
68504,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68506,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68510,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68507,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68509,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68516,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68508,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68512,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68514,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68517,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68521,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68524,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68527,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68523,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68526,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68522,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68520,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68542,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68529,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68544,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68532,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68583,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68588,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68528,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68531,Lincoln,Nebraska ,LANCASTER,31,109,NE 
68601,Columbus,Nebraska ,PLATTE,31,141,NE 
68622,Bartlett,Nebraska ,WHEELER,31,183,NE 
68620,Albion,Nebraska ,BOONE,31,011,NE 
68621,Ames,Nebraska ,DODGE,31,053,NE 
68624,Bellwood,Nebraska ,BUTLER,31,023,NE 
68626,Brainard,Nebraska ,BUTLER,31,023,NE 
68623,Belgrade,Nebraska ,BOONE,31,011,NE 
68602,Columbus,Nebraska ,PLATTE,31,141,NE 
68627,Cedar Rapids,Nebraska ,BOONE,31,011,NE 
68628,Clarks,Nebraska ,MERRICK,31,121,NE 
68629,Clarkson,Nebraska ,COLFAX,31,037,NE 
68631,Creston,Nebraska ,PLATTE,31,141,NE 
68632,David City,Nebraska ,BUTLER,31,023,NE 
68635,Dwight,Nebraska ,BUTLER,31,023,NE 
68636,Elgin,Nebraska ,ANTELOPE,31,003,NE 
68634,Duncan,Nebraska ,PLATTE,31,141,NE 
68633,Dodge,Nebraska ,DODGE,31,053,NE 
68637,Ericson,Nebraska ,WHEELER,31,183,NE 
68642,Humphrey,Nebraska ,PLATTE,31,141,NE 
68638,Fullerton,Nebraska ,NANCE,31,125,NE 
68640,Genoa,Nebraska ,NANCE,31,125,NE 
68643,Leigh,Nebraska ,COLFAX,31,037,NE 
68641,Howells,Nebraska ,COLFAX,31,037,NE 
68647,Monroe,Nebraska ,PLATTE,31,141,NE 
68644,Lindsay,Nebraska ,PLATTE,31,141,NE 
68648,Morse Bluff,Nebraska ,SAUNDERS,31,155,NE 
68649,North Bend,Nebraska ,DODGE,31,053,NE 
68651,Osceola,Nebraska ,POLK,31,143,NE 
68655,Primrose,Nebraska ,BOONE,31,011,NE 
68658,Rising City,Nebraska ,BUTLER,31,023,NE 
68653,Platte Center,Nebraska ,PLATTE,31,141,NE 
68652,Petersburg,Nebraska ,BOONE,31,011,NE 
68654,Polk,Nebraska ,POLK,31,143,NE 
68659,Rogers,Nebraska ,COLFAX,31,037,NE 
68660,Saint Edward,Nebraska ,BOONE,31,011,NE 
68665,Spalding,Nebraska ,GREELEY,31,077,NE 
68664,Snyder,Nebraska ,DODGE,31,053,NE 
68661,Schuyler,Nebraska ,COLFAX,31,037,NE 
68663,Silver Creek,Nebraska ,MERRICK,31,121,NE 
68662,Shelby,Nebraska ,POLK,31,143,NE 
68666,Stromsburg,Nebraska ,POLK,31,143,NE 
68667,Surprise,Nebraska ,BUTLER,31,023,NE 
68669,Ulysses,Nebraska ,BUTLER,31,023,NE 
68701,Norfolk,Nebraska ,MADISON,31,119,NE 
68702,Norfolk,Nebraska ,MADISON,31,119,NE 
68711,Amelia,Nebraska ,HOLT,31,089,NE 
68714,Bassett,Nebraska ,ROCK,31,149,NE 
68715,Battle Creek,Nebraska ,MADISON,31,119,NE 
68713,Atkinson,Nebraska ,HOLT,31,089,NE 
68716,Beemer,Nebraska ,CUMING,31,039,NE 
68710,Allen,Nebraska ,DIXON,31,051,NE 
68717,Belden,Nebraska ,CEDAR,31,027,NE 
68723,Carroll,Nebraska ,WAYNE,31,179,NE 
