50312,Des Moines,Iowa ,POLK,19,153,IA 
50327,Pleasant Hill,Iowa ,POLK,19,153,IA 
50328,Des Moines,Iowa ,POLK,19,153,IA 
50320,Des Moines,Iowa ,POLK,19,153,IA 
50324,Windsor Heights,Iowa ,POLK,19,153,IA 
50323,Urbandale,Iowa ,POLK,19,153,IA 
50325,Clive,Iowa ,POLK,19,153,IA 
50321,Des Moines,Iowa ,POLK,19,153,IA 
50322,Urbandale,Iowa ,POLK,19,153,IA 
50329,Des Moines,Iowa ,POLK,19,153,IA 
50331,Des Moines,Iowa ,POLK,19,153,IA 
50333,Des Moines,Iowa ,POLK,19,153,IA 
50330,Des Moines,Iowa ,POLK,19,153,IA 
50336,Des Moines,Iowa ,POLK,19,153,IA 
50332,Des Moines,Iowa ,POLK,19,153,IA 
50334,Des Moines,Iowa ,POLK,19,153,IA 
50335,Des Moines,Iowa ,POLK,19,153,IA 
50339,Des Moines,Iowa ,POLK,19,153,IA 
50361,Des Moines,Iowa ,POLK,19,153,IA 
50362,Des Moines,Iowa ,POLK,19,153,IA 
50360,Des Moines,Iowa ,POLK,19,153,IA 
50359,Des Moines,Iowa ,POLK,19,153,IA 
50340,Des Moines,Iowa ,POLK,19,153,IA 
50363,Des Moines,Iowa ,POLK,19,153,IA 
50380,Des Moines,Iowa ,POLK,19,153,IA 
50369,Des Moines,Iowa ,POLK,19,153,IA 
50368,Des Moines,Iowa ,POLK,19,153,IA 
50381,Des Moines,Iowa ,POLK,19,153,IA 
50367,Des Moines,Iowa ,POLK,19,153,IA 
50391,Des Moines,Iowa ,POLK,19,153,IA 
50364,Des Moines,Iowa ,POLK,19,153,IA 
50393,Des Moines,Iowa ,POLK,19,153,IA 
50394,Des Moines,Iowa ,POLK,19,153,IA 
50392,Des Moines,Iowa ,POLK,19,153,IA 
50395,Des Moines,Iowa ,POLK,19,153,IA 
50402,Mason City,Iowa ,CERRO GORDO,19,033,IA 
50401,Mason City,Iowa ,CERRO GORDO,19,033,IA 
50398,Urbandale,Iowa ,POLK,19,153,IA 
50396,Des Moines,Iowa ,POLK,19,153,IA 
50420,Alexander,Iowa ,FRANKLIN,19,069,IA 
50423,Britt,Iowa ,HANCOCK,19,081,IA 
50427,Chapin,Iowa ,FRANKLIN,19,069,IA 
50421,Belmond,Iowa ,WRIGHT,19,197,IA 
50426,Carpenter,Iowa ,MITCHELL,19,131,IA 
50428,Clear Lake,Iowa ,CERRO GORDO,19,033,IA 
50424,Buffalo Center,Iowa ,WINNEBAGO,19,189,IA 
50430,Corwith,Iowa ,HANCOCK,19,081,IA 
50431,Coulter,Iowa ,FRANKLIN,19,069,IA 
50432,Crystal Lake,Iowa ,HANCOCK,19,081,IA 
50433,Dougherty,Iowa ,CERRO GORDO,19,033,IA 
50438,Garner,Iowa ,HANCOCK,19,081,IA 
50434,Fertile,Iowa ,WORTH,19,195,IA 
50435,Floyd,Iowa ,FLOYD,19,067,IA 
50439,Goodell,Iowa ,HANCOCK,19,081,IA 
50436,Forest City,Iowa ,WINNEBAGO,19,189,IA 
50440,Grafton,Iowa ,WORTH,19,195,IA 
50441,Hampton,Iowa ,FRANKLIN,19,069,IA 
50444,Hanlontown,Iowa ,WORTH,19,195,IA 
50446,Joice,Iowa ,WORTH,19,195,IA 
50448,Kensett,Iowa ,WORTH,19,195,IA 
50447,Kanawha,Iowa ,HANCOCK,19,081,IA 
50449,Klemme,Iowa ,HANCOCK,19,081,IA 
50451,Lakota,Iowa ,KOSSUTH,19,109,IA 
50450,Lake Mills,Iowa ,WINNEBAGO,19,189,IA 
50452,Latimer,Iowa ,FRANKLIN,19,069,IA 
50453,Leland,Iowa ,WINNEBAGO,19,189,IA 
50454,Little Cedar,Iowa ,MITCHELL,19,131,IA 
50455,Mc Intire,Iowa ,MITCHELL,19,131,IA 
50456,Manly,Iowa ,WORTH,19,195,IA 
50457,Meservey,Iowa ,CERRO GORDO,19,033,IA 
50458,Nora Springs,Iowa ,FLOYD,19,067,IA 
50459,Northwood,Iowa ,WORTH,19,195,IA 
50460,Orchard,Iowa ,MITCHELL,19,131,IA 
50461,Osage,Iowa ,MITCHELL,19,131,IA 
50464,Plymouth,Iowa ,CERRO GORDO,19,033,IA 
50465,Rake,Iowa ,WINNEBAGO,19,189,IA 
50467,Rock Falls,Iowa ,CERRO GORDO,19,033,IA 
50466,Riceville,Iowa ,HOWARD,19,089,IA 
50468,Rockford,Iowa ,FLOYD,19,067,IA 
50469,Rockwell,Iowa ,CERRO GORDO,19,033,IA 
50470,Rowan,Iowa ,WRIGHT,19,197,IA 
50471,Rudd,Iowa ,FLOYD,19,067,IA 
50473,Scarville,Iowa ,WINNEBAGO,19,189,IA 
50475,Sheffield,Iowa ,FRANKLIN,19,069,IA 
50472,Saint Ansgar,Iowa ,MITCHELL,19,131,IA 
50476,Stacyville,Iowa ,MITCHELL,19,131,IA 
50477,Swaledale,Iowa ,CERRO GORDO,19,033,IA 
50480,Titonka,Iowa ,KOSSUTH,19,109,IA 
50478,Thompson,Iowa ,WINNEBAGO,19,189,IA 
50479,Thornton,Iowa ,CERRO GORDO,19,033,IA 
50483,Wesley,Iowa ,KOSSUTH,19,109,IA 
50482,Ventura,Iowa ,CERRO GORDO,19,033,IA 
50481,Toeterville,Iowa ,MITCHELL,19,131,IA 
50501,Fort Dodge,Iowa ,WEBSTER,19,187,IA 
50511,Algona,Iowa ,KOSSUTH,19,109,IA 
