38952,Schlater,Mississippi ,LEFLORE,28,083,MS 
38951,Pittsboro,Mississippi ,CALHOUN,28,013,MS 
38950,Philipp,Mississippi ,TALLAHATCHIE,28,135,MS 
38948,Oakland,Mississippi ,YALOBUSHA,28,161,MS 
38954,Sidon,Mississippi ,CARROLL,28,015,MS 
38953,Scobey,Mississippi ,YALOBUSHA,28,161,MS 
38949,Paris,Mississippi ,LAFAYETTE,28,071,MS 
38955,Slate Spring,Mississippi ,CALHOUN,28,013,MS 
38960,Tie Plant,Mississippi ,GRENADA,28,043,MS 
38961,Tillatoba,Mississippi ,YALOBUSHA,28,161,MS 
38963,Tutwiler,Mississippi ,TALLAHATCHIE,28,135,MS 
38964,Vance,Mississippi ,QUITMAN,28,119,MS 
38959,Swiftown,Mississippi ,LEFLORE,28,083,MS 
38962,Tippo,Mississippi ,TALLAHATCHIE,28,135,MS 
38958,Swan Lake,Mississippi ,TALLAHATCHIE,28,135,MS 
38957,Sumner,Mississippi ,TALLAHATCHIE,28,135,MS 
38965,Water Valley,Mississippi ,YALOBUSHA,28,161,MS 
38966,Webb,Mississippi ,TALLAHATCHIE,28,135,MS 
38967,Winona,Mississippi ,MONTGOMERY,28,097,MS 
39039,Benton,Mississippi ,YAZOO,28,163,MS 
39038,Belzoni,Mississippi ,HUMPHREYS,28,053,MS 
39041,Bolton,Mississippi ,HINDS,28,049,MS 
39040,Bentonia,Mississippi ,YAZOO,28,163,MS 
39042,Brandon,Mississippi ,RANKIN,28,121,MS 
39043,Brandon,Mississippi ,RANKIN,28,121,MS 
39044,Braxton,Mississippi ,SIMPSON,28,127,MS 
39045,Camden,Mississippi ,MADISON,28,089,MS 
39047,Brandon,Mississippi ,RANKIN,28,121,MS 
39046,Canton,Mississippi ,MADISON,28,089,MS 
39051,Carthage,Mississippi ,LEAKE,28,079,MS 
39054,Cary,Mississippi ,SHARKEY,28,125,MS 
39057,Conehatta,Mississippi ,NEWTON,28,101,MS 
39056,Clinton,Mississippi ,HINDS,28,049,MS 
39058,Clinton,Mississippi ,HINDS,28,049,MS 
39061,Delta City,Mississippi ,SHARKEY,28,125,MS 
39062,D Lo,Mississippi ,SIMPSON,28,127,MS 
39060,Clinton,Mississippi ,HINDS,28,049,MS 
39059,Crystal Springs,Mississippi ,COPIAH,28,029,MS 
39063,Durant,Mississippi ,HOLMES,28,051,MS 
39067,Ethel,Mississippi ,ATTALA,28,007,MS 
39066,Edwards,Mississippi ,HINDS,28,049,MS 
39069,Fayette,Mississippi ,JEFFERSON,28,063,MS 
39071,Flora,Mississippi ,MADISON,28,089,MS 
39077,Gallman,Mississippi ,COPIAH,28,029,MS 
39073,Florence,Mississippi ,RANKIN,28,121,MS 
39074,Forest,Mississippi ,SCOTT,28,123,MS 
39080,Harperville,Mississippi ,SCOTT,28,123,MS 
39079,Goodman,Mississippi ,HOLMES,28,051,MS 
39078,Georgetown,Mississippi ,COPIAH,28,029,MS 
39081,Fayette,Mississippi ,JEFFERSON,28,063,MS 
39090,Kosciusko,Mississippi ,ATTALA,28,007,MS 
39082,Harrisville,Mississippi ,SIMPSON,28,127,MS 
39083,Hazlehurst,Mississippi ,COPIAH,28,029,MS 
39087,Hillsboro,Mississippi ,SCOTT,28,123,MS 
39086,Hermanville,Mississippi ,CLAIBORNE,28,021,MS 
39088,Holly Bluff,Mississippi ,YAZOO,28,163,MS 
39092,Lake,Mississippi ,SCOTT,28,123,MS 
39094,Lena,Mississippi ,LEAKE,28,079,MS 
39096,Lorman,Mississippi ,JEFFERSON,28,063,MS 
39095,Lexington,Mississippi ,HOLMES,28,051,MS 
39108,Mc Cool,Mississippi ,ATTALA,28,007,MS 
39107,Mc Adams,Mississippi ,ATTALA,28,007,MS 
39098,Ludlow,Mississippi ,SCOTT,28,123,MS 
39109,Madden,Mississippi ,LEAKE,28,079,MS 
39097,Louise,Mississippi ,HUMPHREYS,28,053,MS 
39110,Madison,Mississippi ,MADISON,28,089,MS 
39111,Magee,Mississippi ,SIMPSON,28,127,MS 
39114,Mendenhall,Mississippi ,SIMPSON,28,127,MS 
39119,Mount Olive,Mississippi ,COVINGTON,28,031,MS 
39117,Morton,Mississippi ,SCOTT,28,123,MS 
39115,Midnight,Mississippi ,HUMPHREYS,28,053,MS 
39116,Mize,Mississippi ,SMITH,28,129,MS 
39113,Mayersville,Mississippi ,ISSAQUENA,28,055,MS 
39120,Natchez,Mississippi ,ADAMS,28,001,MS 
39121,Natchez,Mississippi ,ADAMS,28,001,MS 
39122,Natchez,Mississippi ,ADAMS,28,001,MS 
39140,Newhebron,Mississippi ,LAWRENCE,28,077,MS 
39144,Pattison,Mississippi ,CLAIBORNE,28,021,MS 
39130,Madison,Mississippi ,MADISON,28,089,MS 
39146,Pickens,Mississippi ,HOLMES,28,051,MS 
39145,Pelahatchie,Mississippi ,RANKIN,28,121,MS 
39148,Piney Woods,Mississippi ,RANKIN,28,121,MS 
39149,Pinola,Mississippi ,SIMPSON,28,127,MS 
39150,Port Gibson,Mississippi ,CLAIBORNE,28,021,MS 
39156,Redwood,Mississippi ,WARREN,28,149,MS 
39153,Raleigh,Mississippi ,SMITH,28,129,MS 
39157,Ridgeland,Mississippi ,MADISON,28,089,MS 
39152,Pulaski,Mississippi ,SCOTT,28,123,MS 
39154,Raymond,Mississippi ,HINDS,28,049,MS 
39151,Puckett,Mississippi ,RANKIN,28,121,MS 
39158,Ridgeland,Mississippi ,MADISON,28,089,MS 
39159,Rolling Fork,Mississippi ,SHARKEY,28,125,MS 
