22242,Arlington,Virginia ,ARLINGTON,51,013,VA 
22244,Arlington,Virginia ,ARLINGTON,51,013,VA 
22245,Arlington,Virginia ,ARLINGTON,51,013,VA 
22246,Arlington,Virginia ,ARLINGTON,51,013,VA 
22303,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22301,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22302,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22305,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22306,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22304,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22307,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22308,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22311,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22315,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22312,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22314,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22313,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22310,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22309,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22320,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22331,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22333,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22332,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22350,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22401,Fredericksburg,Virginia ,FREDERICKSBURG CITY,51,630,VA 
22402,Fredericksburg,Virginia ,FREDERICKSBURG CITY,51,630,VA 
22334,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22403,Fredericksburg,Virginia ,STAFFORD,51,179,VA 
22404,Fredericksburg,Virginia ,FREDERICKSBURG CITY,51,630,VA 
22412,Fredericksburg,Virginia ,STAFFORD,51,179,VA 
22405,Fredericksburg,Virginia ,STAFFORD,51,179,VA 
22406,Fredericksburg,Virginia ,STAFFORD,51,179,VA 
22408,Fredericksburg,Virginia ,SPOTSYLVANIA,51,177,VA 
22407,Fredericksburg,Virginia ,SPOTSYLVANIA,51,177,VA 
22427,Bowling Green,Virginia ,CAROLINE,51,033,VA 
22432,Burgess,Virginia ,NORTHUMBERLAND,51,133,VA 
22437,Center Cross,Virginia ,ESSEX,51,057,VA 
22430,Brooke,Virginia ,STAFFORD,51,179,VA 
22436,Caret,Virginia ,ESSEX,51,057,VA 
22433,Burr Hill,Virginia ,ORANGE,51,137,VA 
22428,Bowling Green,Virginia ,CAROLINE,51,033,VA 
22438,Champlain,Virginia ,ESSEX,51,057,VA 
22435,Callao,Virginia ,NORTHUMBERLAND,51,133,VA 
22442,Coles Point,Virginia ,WESTMORELAND,51,193,VA 
22443,Colonial Beach,Virginia ,WESTMORELAND,51,193,VA 
22446,Corbin,Virginia ,CAROLINE,51,033,VA 
22456,Edwardsville,Virginia ,NORTHUMBERLAND,51,133,VA 
22448,Dahlgren,Virginia ,KING GEORGE,51,099,VA 
22460,Farnham,Virginia ,RICHMOND,51,159,VA 
22454,Dunnsville,Virginia ,ESSEX,51,057,VA 
22451,Dogue,Virginia ,KING GEORGE,51,099,VA 
22463,Garrisonville,Virginia ,STAFFORD,51,179,VA 
22469,Hague,Virginia ,WESTMORELAND,51,193,VA 
22471,Hartwood,Virginia ,STAFFORD,51,179,VA 
22473,Heathsville,Virginia ,NORTHUMBERLAND,51,133,VA 
22480,Irvington,Virginia ,LANCASTER,51,103,VA 
22472,Haynesville,Virginia ,RICHMOND,51,159,VA 
22476,Hustle,Virginia ,ESSEX,51,057,VA 
22481,Jersey,Virginia ,KING GEORGE,51,099,VA 
22482,Kilmarnock,Virginia ,LANCASTER,51,103,VA 
22485,King George,Virginia ,KING GEORGE,51,099,VA 
22503,Lancaster,Virginia ,LANCASTER,51,103,VA 
22508,Locust Grove,Virginia ,ORANGE,51,137,VA 
22504,Laneview,Virginia ,ESSEX,51,057,VA 
22488,Kinsale,Virginia ,WESTMORELAND,51,193,VA 
22507,Lively,Virginia ,LANCASTER,51,103,VA 
22501,Ladysmith,Virginia ,CAROLINE,51,033,VA 
22511,Lottsburg,Virginia ,NORTHUMBERLAND,51,133,VA 
22509,Loretto,Virginia ,ESSEX,51,057,VA 
22513,Merry Point,Virginia ,LANCASTER,51,103,VA 
22517,Mollusk,Virginia ,LANCASTER,51,103,VA 
22524,Mount Holly,Virginia ,WESTMORELAND,51,193,VA 
22528,Nuttsville,Virginia ,LANCASTER,51,103,VA 
22523,Morattico,Virginia ,LANCASTER,51,103,VA 
22514,Milford,Virginia ,CAROLINE,51,033,VA 
22526,Ninde,Virginia ,KING GEORGE,51,099,VA 
22520,Montross,Virginia ,WESTMORELAND,51,193,VA 
22529,Oldhams,Virginia ,WESTMORELAND,51,193,VA 
22534,Partlow,Virginia ,SPOTSYLVANIA,51,177,VA 
22530,Ophelia,Virginia ,NORTHUMBERLAND,51,133,VA 
22538,Rappahannock Academy,Virginia ,CAROLINE,51,033,VA 
22539,Reedville,Virginia ,NORTHUMBERLAND,51,133,VA 
22535,Port Royal,Virginia ,CAROLINE,51,033,VA 
22544,Rollins Fork,Virginia ,KING GEORGE,51,099,VA 
22545,Ruby,Virginia ,STAFFORD,51,179,VA 
22542,Rhoadesville,Virginia ,ORANGE,51,137,VA 
22546,Ruther Glen,Virginia ,CAROLINE,51,033,VA 
22547,Sealston,Virginia ,KING GEORGE,51,099,VA 
22548,Sharps,Virginia ,RICHMOND,51,159,VA 
22555,Stafford,Virginia ,STAFFORD,51,179,VA 
22552,Sparta,Virginia ,CAROLINE,51,033,VA 
22551,Spotsylvania,Virginia ,SPOTSYLVANIA,51,177,VA 
22553,Spotsylvania,Virginia ,SPOTSYLVANIA,51,177,VA 
22554,Stafford,Virginia ,STAFFORD,51,179,VA 
22567,Unionville,Virginia ,ORANGE,51,137,VA 
22560,Tappahannock,Virginia ,ESSEX,51,057,VA 
22558,Stratford,Virginia ,WESTMORELAND,51,193,VA 
22570,Village,Virginia ,RICHMOND,51,159,VA 
22572,Warsaw,Virginia ,RICHMOND,51,159,VA 
22565,Thornburg,Virginia ,SPOTSYLVANIA,51,177,VA 
22576,Weems,Virginia ,LANCASTER,51,103,VA 
22556,Stafford,Virginia ,STAFFORD,51,179,VA 
22601,Winchester,Virginia ,WINCHESTER CITY,51,840,VA 
22578,White Stone,Virginia ,LANCASTER,51,103,VA 
22580,Woodford,Virginia ,CAROLINE,51,033,VA 
22579,Wicomico Church,Virginia ,NORTHUMBERLAND,51,133,VA 
22577,Sandy Point,Virginia ,WESTMORELAND,51,193,VA 
22602,Winchester,Virginia ,FREDERICK,51,069,VA 
22603,Winchester,Virginia ,FREDERICK,51,069,VA 
22581,Zacata,Virginia ,WESTMORELAND,51,193,VA 
22610,Bentonville,Virginia ,WARREN,51,187,VA 
22604,Winchester,Virginia ,WINCHESTER CITY,51,840,VA 
22622,Brucetown,Virginia ,FREDERICK,51,069,VA 
22620,Boyce,Virginia ,CLARKE,51,043,VA 
