73149,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73151,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73152,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73153,Oklahoma City,Oklahoma ,CLEVELAND,40,027,OK 
73155,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73157,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73159,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73154,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73156,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73160,Oklahoma City,Oklahoma ,CLEVELAND,40,027,OK 
73162,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73169,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73164,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73170,Oklahoma City,Oklahoma ,CLEVELAND,40,027,OK 
73172,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73165,Oklahoma City,Oklahoma ,CLEVELAND,40,027,OK 
73163,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73167,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73173,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73178,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73195,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73179,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73190,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73194,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73184,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73196,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73189,Oklahoma City,Oklahoma ,CLEVELAND,40,027,OK 
73401,Ardmore,Oklahoma ,CARTER,40,019,OK 
73403,Ardmore,Oklahoma ,CARTER,40,019,OK 
73432,Coleman,Oklahoma ,JOHNSTON,40,069,OK 
73402,Ardmore,Oklahoma ,CARTER,40,019,OK 
73434,Foster,Oklahoma ,STEPHENS,40,137,OK 
73430,Burneyville,Oklahoma ,LOVE,40,085,OK 
73433,Elmore City,Oklahoma ,GARVIN,40,049,OK 
73425,Countyline,Oklahoma ,STEPHENS,40,137,OK 
73435,Fox,Oklahoma ,CARTER,40,019,OK 
73441,Leon,Oklahoma ,LOVE,40,085,OK 
73442,Loco,Oklahoma ,STEPHENS,40,137,OK 
73439,Kingston,Oklahoma ,MARSHALL,40,095,OK 
73436,Gene Autry,Oklahoma ,CARTER,40,019,OK 
73440,Lebanon,Oklahoma ,MARSHALL,40,095,OK 
73438,Healdton,Oklahoma ,CARTER,40,019,OK 
73437,Graham,Oklahoma ,CARTER,40,019,OK 
73443,Lone Grove,Oklahoma ,CARTER,40,019,OK 
