46346,Kingsford Heights,Indiana ,LA PORTE,18,091,IN 
46342,Hobart,Indiana ,LAKE,18,089,IN 
46349,Lake Village,Indiana ,NEWTON,18,111,IN 
46347,Kouts,Indiana ,PORTER,18,127,IN 
46348,La Crosse,Indiana ,LA PORTE,18,091,IN 
46350,La Porte,Indiana ,LA PORTE,18,091,IN 
46352,La Porte,Indiana ,LA PORTE,18,091,IN 
46355,Leroy,Indiana ,LAKE,18,089,IN 
46365,Mill Creek,Indiana ,LA PORTE,18,091,IN 
46361,Michigan City,Indiana ,LA PORTE,18,091,IN 
46368,Portage,Indiana ,PORTER,18,127,IN 
46366,North Judson,Indiana ,STARKE,18,149,IN 
46356,Lowell,Indiana ,LAKE,18,089,IN 
46360,Michigan City,Indiana ,LA PORTE,18,091,IN 
46371,Rolling Prairie,Indiana ,LA PORTE,18,091,IN 
46372,Roselawn,Indiana ,NEWTON,18,111,IN 
46373,Saint John,Indiana ,LAKE,18,089,IN 
46377,Shelby,Indiana ,LAKE,18,089,IN 
46379,Sumava Resorts,Indiana ,NEWTON,18,111,IN 
46374,San Pierre,Indiana ,STARKE,18,149,IN 
46375,Schererville,Indiana ,LAKE,18,089,IN 
46380,Tefft,Indiana ,JASPER,18,073,IN 
46376,Schneider,Indiana ,LAKE,18,089,IN 
46381,Thayer,Indiana ,NEWTON,18,111,IN 
46382,Union Mills,Indiana ,LA PORTE,18,091,IN 
46384,Valparaiso,Indiana ,PORTER,18,127,IN 
46383,Valparaiso,Indiana ,PORTER,18,127,IN 
46390,Wanatah,Indiana ,LA PORTE,18,091,IN 
46385,Valparaiso,Indiana ,PORTER,18,127,IN 
46391,Westville,Indiana ,LA PORTE,18,091,IN 
46392,Wheatfield,Indiana ,JASPER,18,073,IN 
46393,Wheeler,Indiana ,PORTER,18,127,IN 
46394,Whiting,Indiana ,LAKE,18,089,IN 
46402,Gary,Indiana ,LAKE,18,089,IN 
46406,Gary,Indiana ,LAKE,18,089,IN 
46403,Gary,Indiana ,LAKE,18,089,IN 
46405,Lake Station,Indiana ,LAKE,18,089,IN 
46401,Gary,Indiana ,LAKE,18,089,IN 
46404,Gary,Indiana ,LAKE,18,089,IN 
46407,Gary,Indiana ,LAKE,18,089,IN 
46408,Gary,Indiana ,LAKE,18,089,IN 
46409,Gary,Indiana ,LAKE,18,089,IN 
46410,Merrillville,Indiana ,LAKE,18,089,IN 
46502,Atwood,Indiana ,KOSCIUSKO,18,085,IN 
46504,Bourbon,Indiana ,MARSHALL,18,099,IN 
46501,Argos,Indiana ,MARSHALL,18,099,IN 
46506,Bremen,Indiana ,MARSHALL,18,099,IN 
46411,Merrillville,Indiana ,LAKE,18,089,IN 
46507,Bristol,Indiana ,ELKHART,18,039,IN 
46510,Claypool,Indiana ,KOSCIUSKO,18,085,IN 
46508,Burket,Indiana ,KOSCIUSKO,18,085,IN 
46514,Elkhart,Indiana ,ELKHART,18,039,IN 
46513,Donaldson,Indiana ,MARSHALL,18,099,IN 
46515,Elkhart,Indiana ,ELKHART,18,039,IN 
46511,Culver,Indiana ,MARSHALL,18,099,IN 
46516,Elkhart,Indiana ,ELKHART,18,039,IN 
46517,Elkhart,Indiana ,ELKHART,18,039,IN 
46526,Goshen,Indiana ,ELKHART,18,039,IN 
46524,Etna Green,Indiana ,KOSCIUSKO,18,085,IN 
46531,Grovertown,Indiana ,STARKE,18,149,IN 
46527,Goshen,Indiana ,ELKHART,18,039,IN 
46532,Hamlet,Indiana ,STARKE,18,149,IN 
46530,Granger,Indiana ,ST JOSEPH,18,141,IN 
46534,Knox,Indiana ,STARKE,18,149,IN 
46528,Goshen,Indiana ,ELKHART,18,039,IN 
46536,Lakeville,Indiana ,ST JOSEPH,18,141,IN 
46537,Lapaz,Indiana ,MARSHALL,18,099,IN 
46540,Middlebury,Indiana ,ELKHART,18,039,IN 
46543,Millersburg,Indiana ,ELKHART,18,039,IN 
46538,Leesburg,Indiana ,KOSCIUSKO,18,085,IN 
46542,Milford,Indiana ,KOSCIUSKO,18,085,IN 
46544,Mishawaka,Indiana ,ST JOSEPH,18,141,IN 
46539,Mentone,Indiana ,KOSCIUSKO,18,085,IN 
46545,Mishawaka,Indiana ,ST JOSEPH,18,141,IN 
46546,Mishawaka,Indiana ,ST JOSEPH,18,141,IN 
46550,Nappanee,Indiana ,ELKHART,18,039,IN 
46556,Notre Dame,Indiana ,ST JOSEPH,18,141,IN 
46553,New Paris,Indiana ,ELKHART,18,039,IN 
46552,New Carlisle,Indiana ,ST JOSEPH,18,141,IN 
46554,North Liberty,Indiana ,ST JOSEPH,18,141,IN 
46555,North Webster,Indiana ,KOSCIUSKO,18,085,IN 
46561,Osceola,Indiana ,ST JOSEPH,18,141,IN 
46562,Pierceton,Indiana ,KOSCIUSKO,18,085,IN 
46565,Shipshewana,Indiana ,LAGRANGE,18,087,IN 
46570,Tippecanoe,Indiana ,MARSHALL,18,099,IN 
46567,Syracuse,Indiana ,KOSCIUSKO,18,085,IN 
46573,Wakarusa,Indiana ,ELKHART,18,039,IN 
46574,Walkerton,Indiana ,ST JOSEPH,18,141,IN 
46563,Plymouth,Indiana ,MARSHALL,18,099,IN 
46572,Tyner,Indiana ,MARSHALL,18,099,IN 
46571,Topeka,Indiana ,LAGRANGE,18,087,IN 
46581,Warsaw,Indiana ,KOSCIUSKO,18,085,IN 
46580,Warsaw,Indiana ,KOSCIUSKO,18,085,IN 
46595,Wyatt,Indiana ,ST JOSEPH,18,141,IN 
46590,Winona Lake,Indiana ,KOSCIUSKO,18,085,IN 
46601,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46613,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46582,Warsaw,Indiana ,KOSCIUSKO,18,085,IN 
46615,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46616,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46624,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46617,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46626,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46619,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46628,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46634,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46637,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46635,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46699,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46660,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46680,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46701,Albion,Indiana ,NOBLE,18,113,IN 
46702,Andrews,Indiana ,HUNTINGTON,18,069,IN 
46703,Angola,Indiana ,STEUBEN,18,151,IN 
46704,Arcola,Indiana ,ALLEN,18,003,IN 
46710,Avilla,Indiana ,NOBLE,18,113,IN 
46706,Auburn,Indiana ,DEKALB,18,033,IN 
46711,Berne,Indiana ,ADAMS,18,001,IN 
46705,Ashley,Indiana ,DEKALB,18,033,IN 
46713,Bippus,Indiana ,HUNTINGTON,18,069,IN 
46714,Bluffton,Indiana ,WELLS,18,179,IN 
46725,Columbia City,Indiana ,WHITLEY,18,183,IN 
46721,Butler,Indiana ,DEKALB,18,033,IN 
46730,Corunna,Indiana ,DEKALB,18,033,IN 
46732,Cromwell,Indiana ,NOBLE,18,113,IN 
46723,Churubusco,Indiana ,WHITLEY,18,183,IN 
46731,Craigville,Indiana ,WELLS,18,179,IN 
46733,Decatur,Indiana ,ADAMS,18,001,IN 
46738,Garrett,Indiana ,DEKALB,18,033,IN 
46740,Geneva,Indiana ,ADAMS,18,001,IN 
46742,Hamilton,Indiana ,STEUBEN,18,151,IN 
46741,Grabill,Indiana ,ALLEN,18,003,IN 
46737,Fremont,Indiana ,STEUBEN,18,151,IN 
46743,Harlan,Indiana ,ALLEN,18,003,IN 
46745,Hoagland,Indiana ,ALLEN,18,003,IN 
46746,Howe,Indiana ,LAGRANGE,18,087,IN 
46747,Hudson,Indiana ,STEUBEN,18,151,IN 
46759,Keystone,Indiana ,WELLS,18,179,IN 
46755,Kendallville,Indiana ,NOBLE,18,113,IN 
46748,Huntertown,Indiana ,ALLEN,18,003,IN 
46750,Huntington,Indiana ,HUNTINGTON,18,069,IN 
46760,Kimmell,Indiana ,NOBLE,18,113,IN 
46761,Lagrange,Indiana ,LAGRANGE,18,087,IN 
46763,Laotto,Indiana ,NOBLE,18,113,IN 
46766,Liberty Center,Indiana ,WELLS,18,179,IN 
46764,Larwill,Indiana ,WHITLEY,18,183,IN 
46767,Ligonier,Indiana ,NOBLE,18,113,IN 
46765,Leo,Indiana ,ALLEN,18,003,IN 
46769,Linn Grove,Indiana ,ADAMS,18,001,IN 
46769,Linn Grove,Indiana ,ADAMS,18,001,IN 
46770,Markle,Indiana ,WELLS,18,179,IN 
46774,New Haven,Indiana ,ALLEN,18,003,IN 
46771,Mongo,Indiana ,LAGRANGE,18,087,IN 
46772,Monroe,Indiana ,ADAMS,18,001,IN 
46773,Monroeville,Indiana ,ALLEN,18,003,IN 
46776,Orland,Indiana ,STEUBEN,18,151,IN 
46777,Ossian,Indiana ,WELLS,18,179,IN 
46780,Pleasant Mills,Indiana ,ADAMS,18,001,IN 
46778,Petroleum,Indiana ,WELLS,18,179,IN 
46781,Poneto,Indiana ,WELLS,18,179,IN 
46782,Preble,Indiana ,ADAMS,18,001,IN 
46779,Pleasant Lake,Indiana ,STEUBEN,18,151,IN 
46783,Roanoke,Indiana ,HUNTINGTON,18,069,IN 
