58502,Bismarck,North Dakota ,BURLEIGH,38,015,ND 
58503,Bismarck,North Dakota ,BURLEIGH,38,015,ND 
58507,Bismarck,North Dakota ,BURLEIGH,38,015,ND 
58524,Braddock,North Dakota ,EMMONS,38,029,ND 
58521,Baldwin,North Dakota ,BURLEIGH,38,015,ND 
58531,Coleharbor,North Dakota ,MCLEAN,38,055,ND 
58528,Cannon Ball,North Dakota ,SIOUX,38,085,ND 
58530,Center,North Dakota ,OLIVER,38,065,ND 
58520,Almont,North Dakota ,MORTON,38,059,ND 
58529,Carson,North Dakota ,GRANT,38,037,ND 
58523,Beulah,North Dakota ,MERCER,38,057,ND 
58532,Driscoll,North Dakota ,BURLEIGH,38,015,ND 
58535,Flasher,North Dakota ,MORTON,38,059,ND 
58540,Garrison,North Dakota ,MCLEAN,38,055,ND 
58544,Hazelton,North Dakota ,EMMONS,38,029,ND 
58542,Hague,North Dakota ,EMMONS,38,029,ND 
58533,Elgin,North Dakota ,GRANT,38,037,ND 
58541,Golden Valley,North Dakota ,MERCER,38,057,ND 
58538,Fort Yates,North Dakota ,SIOUX,38,085,ND 
58545,Hazen,North Dakota ,MERCER,38,057,ND 
58552,Linton,North Dakota ,EMMONS,38,029,ND 
58549,Kintyre,North Dakota ,EMMONS,38,029,ND 
58558,Menoken,North Dakota ,BURLEIGH,38,015,ND 
58559,Mercer,North Dakota ,MCLEAN,38,055,ND 
58561,Napoleon,North Dakota ,LOGAN,38,047,ND 
58554,Mandan,North Dakota ,MORTON,38,059,ND 
58560,Moffit,North Dakota ,BURLEIGH,38,015,ND 
58562,New Leipzig,North Dakota ,GRANT,38,037,ND 
58565,Riverdale,North Dakota ,MCLEAN,38,055,ND 
58564,Raleigh,North Dakota ,GRANT,38,037,ND 
58563,New Salem,North Dakota ,MORTON,38,059,ND 
58569,Shields,North Dakota ,GRANT,38,037,ND 
58570,Solen,North Dakota ,SIOUX,38,085,ND 
58568,Selfridge,North Dakota ,SIOUX,38,085,ND 
58566,Saint Anthony,North Dakota ,MORTON,38,059,ND 
58571,Stanton,North Dakota ,MERCER,38,057,ND 
58575,Turtle Lake,North Dakota ,MCLEAN,38,055,ND 
58573,Strasburg,North Dakota ,EMMONS,38,029,ND 
58577,Washburn,North Dakota ,MCLEAN,38,055,ND 
58572,Sterling,North Dakota ,BURLEIGH,38,015,ND 
58579,Wilton,North Dakota ,MCLEAN,38,055,ND 
58580,Zap,North Dakota ,MERCER,38,057,ND 
58576,Underwood,North Dakota ,MCLEAN,38,055,ND 
58581,Zeeland,North Dakota ,MCINTOSH,38,051,ND 
58622,Belfield,North Dakota ,STARK,38,089,ND 
58625,Dodge,North Dakota ,DUNN,38,025,ND 
58621,Beach,North Dakota ,GOLDEN VALLEY,38,033,ND 
58602,Dickinson,North Dakota ,STARK,38,089,ND 
58601,Dickinson,North Dakota ,STARK,38,089,ND 
58620,Amidon,North Dakota ,SLOPE,38,087,ND 
58623,Bowman,North Dakota ,BOWMAN,38,011,ND 
58626,Dunn Center,North Dakota ,DUNN,38,025,ND 
58627,Fairfield,North Dakota ,BILLINGS,38,007,ND 
58636,Halliday,North Dakota ,DUNN,38,025,ND 
58631,Glen Ullin,North Dakota ,MORTON,38,059,ND 
58638,Hebron,North Dakota ,MORTON,38,059,ND 
58632,Golva,North Dakota ,GOLDEN VALLEY,38,033,ND 
58634,Grassy Butte,North Dakota ,MCKENZIE,38,053,ND 
58630,Gladstone,North Dakota ,STARK,38,089,ND 
58639,Hettinger,North Dakota ,ADAMS,38,001,ND 
58643,Marmarth,North Dakota ,SLOPE,38,087,ND 
58647,New England,North Dakota ,HETTINGER,38,041,ND 
58645,Medora,North Dakota ,BILLINGS,38,007,ND 
58644,Marshall,North Dakota ,DUNN,38,025,ND 
58640,Killdeer,North Dakota ,DUNN,38,025,ND 
58642,Manning,North Dakota ,DUNN,38,025,ND 
58641,Lefor,North Dakota ,STARK,38,089,ND 
58646,Mott,North Dakota ,HETTINGER,38,041,ND 
58649,Reeder,North Dakota ,ADAMS,38,001,ND 
58650,Regent,North Dakota ,HETTINGER,38,041,ND 
58653,Scranton,North Dakota ,BOWMAN,38,011,ND 
58655,South Heart,North Dakota ,STARK,38,089,ND 
58654,Sentinel Butte,North Dakota ,GOLDEN VALLEY,38,033,ND 
58656,Taylor,North Dakota ,STARK,38,089,ND 
58652,Richardton,North Dakota ,STARK,38,089,ND 
58651,Rhame,North Dakota ,BOWMAN,38,011,ND 
58701,Minot,North Dakota ,WARD,38,101,ND 
58711,Antler,North Dakota ,BOTTINEAU,38,009,ND 
58707,Minot,North Dakota ,WARD,38,101,ND 
58702,Minot,North Dakota ,WARD,38,101,ND 
58703,Minot,North Dakota ,WARD,38,101,ND 
58704,Minot AFB,North Dakota ,WARD,38,101,ND 
58710,Anamoose,North Dakota ,MCHENRY,38,049,ND 
58705,Minot AFB,North Dakota ,WARD,38,101,ND 
58712,Balfour,North Dakota ,MCHENRY,38,049,ND 
58713,Bantry,North Dakota ,MCHENRY,38,049,ND 
58725,Carpio,North Dakota ,WARD,38,101,ND 
58723,Butte,North Dakota ,MCLEAN,38,055,ND 
58716,Benedict,North Dakota ,MCLEAN,38,055,ND 
58721,Bowbells,North Dakota ,BURKE,38,013,ND 
58722,Burlington,North Dakota ,WARD,38,101,ND 
58718,Berthold,North Dakota ,WARD,38,101,ND 
58727,Columbus,North Dakota ,BURKE,38,013,ND 
58730,Crosby,North Dakota ,DIVIDE,38,023,ND 
58735,Douglas,North Dakota ,WARD,38,101,ND 
58733,Des Lacs,North Dakota ,WARD,38,101,ND 
58737,Flaxton,North Dakota ,BURKE,38,013,ND 
58734,Donnybrook,North Dakota ,WARD,38,101,ND 
58731,Deering,North Dakota ,MCHENRY,38,049,ND 
58740,Glenburn,North Dakota ,RENVILLE,38,075,ND 
58736,Drake,North Dakota ,MCHENRY,38,049,ND 
58741,Granville,North Dakota ,MCHENRY,38,049,ND 
58746,Kenmare,North Dakota ,WARD,38,101,ND 
58756,Makoti,North Dakota ,WARD,38,101,ND 
58750,Lansford,North Dakota ,BOTTINEAU,38,009,ND 
58752,Lignite,North Dakota ,BURKE,38,013,ND 
58744,Karlsruhe,North Dakota ,MCHENRY,38,049,ND 
58755,Mcgregor,North Dakota ,WILLIAMS,38,105,ND 
58748,Kramer,North Dakota ,BOTTINEAU,38,009,ND 
58757,Mandaree,North Dakota ,MCKENZIE,38,053,ND 
58758,Martin,North Dakota ,SHERIDAN,38,083,ND 
58759,Max,North Dakota ,MCLEAN,38,055,ND 
58763,New Town,North Dakota ,MOUNTRAIL,38,061,ND 
58761,Mohall,North Dakota ,RENVILLE,38,075,ND 
58762,Newburg,North Dakota ,BOTTINEAU,38,009,ND 
58760,Maxbass,North Dakota ,BOTTINEAU,38,009,ND 
58768,Norwich,North Dakota ,MCHENRY,38,049,ND 
58765,Noonan,North Dakota ,DIVIDE,38,023,ND 
58770,Parshall,North Dakota ,MOUNTRAIL,38,061,ND 
58769,Palermo,North Dakota ,MOUNTRAIL,38,061,ND 
58772,Portal,North Dakota ,BURKE,38,013,ND 
58771,Plaza,North Dakota ,MOUNTRAIL,38,061,ND 
58773,Powers Lake,North Dakota ,BURKE,38,013,ND 
58775,Roseglen,North Dakota ,MCLEAN,38,055,ND 
58776,Ross,North Dakota ,MOUNTRAIL,38,061,ND 
58778,Ruso,North Dakota ,MCLEAN,38,055,ND 
58779,Ryder,North Dakota ,WARD,38,101,ND 
58788,Towner,North Dakota ,MCHENRY,38,049,ND 
58785,Surrey,North Dakota ,WARD,38,101,ND 
58784,Stanley,North Dakota ,MOUNTRAIL,38,061,ND 
58781,Sawyer,North Dakota ,WARD,38,101,ND 
58783,Souris,North Dakota ,BOTTINEAU,38,009,ND 
58782,Sherwood,North Dakota ,RENVILLE,38,075,ND 
58787,Tolley,North Dakota ,RENVILLE,38,075,ND 
58789,Upham,North Dakota ,MCHENRY,38,049,ND 
