83628,Homedale,Idaho ,OWYHEE,16,073,ID 
83627,Hammett,Idaho ,ELMORE,16,039,ID 
83630,Huston,Idaho ,CANYON,16,027,ID 
83631,Idaho City,Idaho ,BOISE,16,015,ID 
83632,Indian Valley,Idaho ,ADAMS,16,003,ID 
83635,Lake Fork,Idaho ,VALLEY,16,085,ID 
83633,King Hill,Idaho ,ELMORE,16,039,ID 
83636,Letha,Idaho ,GEM,16,045,ID 
83638,Mccall,Idaho ,VALLEY,16,085,ID 
83634,Kuna,Idaho ,ADA,16,001,ID 
83637,Lowman,Idaho ,BOISE,16,015,ID 
83641,Melba,Idaho ,CANYON,16,027,ID 
83639,Marsing,Idaho ,OWYHEE,16,073,ID 
83642,Meridian,Idaho ,ADA,16,001,ID 
83643,Mesa,Idaho ,ADAMS,16,003,ID 
83647,Mountain Home,Idaho ,ELMORE,16,039,ID 
83645,Midvale,Idaho ,WASHINGTON,16,087,ID 
83646,Meridian,Idaho ,ADA,16,001,ID 
83648,Mountain Home AFB,Idaho ,ELMORE,16,039,ID 
83650,Murphy,Idaho ,OWYHEE,16,073,ID 
83644,Middleton,Idaho ,CANYON,16,027,ID 
83651,Nampa,Idaho ,CANYON,16,027,ID 
83652,Nampa,Idaho ,CANYON,16,027,ID 
83656,Notus,Idaho ,CANYON,16,027,ID 
83657,Ola,Idaho ,GEM,16,045,ID 
83653,Nampa,Idaho ,CANYON,16,027,ID 
83654,New Meadows,Idaho ,ADAMS,16,003,ID 
83661,Payette,Idaho ,PAYETTE,16,075,ID 
83660,Parma,Idaho ,CANYON,16,027,ID 
83655,New Plymouth,Idaho ,PAYETTE,16,075,ID 
83666,Placerville,Idaho ,BOISE,16,015,ID 
83670,Sweet,Idaho ,GEM,16,045,ID 
83669,Star,Idaho ,ADA,16,001,ID 
83677,Yellow Pine,Idaho ,VALLEY,16,085,ID 
83676,Wilder,Idaho ,CANYON,16,027,ID 
83671,Warren,Idaho ,IDAHO,16,049,ID 
83680,Meridian,Idaho ,ADA,16,001,ID 
83672,Weiser,Idaho ,WASHINGTON,16,087,ID 
83686,Nampa,Idaho ,CANYON,16,027,ID 
83687,Nampa,Idaho ,CANYON,16,027,ID 
83705,Boise,Idaho ,ADA,16,001,ID 
83706,Boise,Idaho ,ADA,16,001,ID 
83701,Boise,Idaho ,ADA,16,001,ID 
83703,Boise,Idaho ,ADA,16,001,ID 
83707,Boise,Idaho ,ADA,16,001,ID 
83704,Boise,Idaho ,ADA,16,001,ID 
83702,Boise,Idaho ,ADA,16,001,ID 
83708,Boise,Idaho ,ADA,16,001,ID 
83711,Boise,Idaho ,ADA,16,001,ID 
83709,Boise,Idaho ,ADA,16,001,ID 
83716,Boise,Idaho ,ADA,16,001,ID 
83713,Boise,Idaho ,ADA,16,001,ID 
83714,Garden City,Idaho ,ADA,16,001,ID 
83715,Boise,Idaho ,ADA,16,001,ID 
83712,Boise,Idaho ,ADA,16,001,ID 
83717,Boise,Idaho ,ADA,16,001,ID 
83719,Boise,Idaho ,ADA,16,001,ID 
83725,Boise,Idaho ,ADA,16,001,ID 
83722,Boise,Idaho ,ADA,16,001,ID 
83724,Boise,Idaho ,ADA,16,001,ID 
83720,Boise,Idaho ,ADA,16,001,ID 
83729,Boise,Idaho ,ADA,16,001,ID 
83728,Boise,Idaho ,ADA,16,001,ID 
83726,Boise,Idaho ,ADA,16,001,ID 
83732,Boise,Idaho ,ADA,16,001,ID 
83801,Athol,Idaho ,KOOTENAI,16,055,ID 
83802,Avery,Idaho ,SHOSHONE,16,079,ID 
83803,Bayview,Idaho ,KOOTENAI,16,055,ID 
83804,Blanchard,Idaho ,BONNER,16,017,ID 
83756,Boise,Idaho ,ADA,16,001,ID 
83799,Boise,Idaho ,ADA,16,001,ID 
83735,Boise,Idaho ,ADA,16,001,ID 
83805,Bonners Ferry,Idaho ,BOUNDARY,16,021,ID 
83808,Calder,Idaho ,SHOSHONE,16,079,ID 
83806,Bovill,Idaho ,LATAH,16,057,ID 
83809,Careywood,Idaho ,BONNER,16,017,ID 
83812,Clarkia,Idaho ,SHOSHONE,16,079,ID 
83810,Cataldo,Idaho ,KOOTENAI,16,055,ID 
83814,Coeur D Alene,Idaho ,KOOTENAI,16,055,ID 
83811,Clark Fork,Idaho ,BONNER,16,017,ID 
83813,Cocolalla,Idaho ,BONNER,16,017,ID 
83816,Coeur D Alene,Idaho ,KOOTENAI,16,055,ID 
83815,Coeur D Alene,Idaho ,KOOTENAI,16,055,ID 
83825,Dover,Idaho ,BONNER,16,017,ID 
83821,Coolin,Idaho ,BONNER,16,017,ID 
83823,Deary,Idaho ,LATAH,16,057,ID 
83824,Desmet,Idaho ,BENEWAH,16,009,ID 
83822,Oldtown,Idaho ,BONNER,16,017,ID 
83826,Eastport,Idaho ,BOUNDARY,16,021,ID 
83827,Elk River,Idaho ,CLEARWATER,16,035,ID 
83830,Fernwood,Idaho ,BENEWAH,16,009,ID 
83834,Harvard,Idaho ,LATAH,16,057,ID 
83835,Hayden,Idaho ,KOOTENAI,16,055,ID 
83833,Harrison,Idaho ,KOOTENAI,16,055,ID 
83839,Kingston,Idaho ,SHOSHONE,16,079,ID 
83832,Genesee,Idaho ,LATAH,16,057,ID 
83836,Hope,Idaho ,BONNER,16,017,ID 
83837,Kellogg,Idaho ,SHOSHONE,16,079,ID 
83840,Kootenai,Idaho ,BONNER,16,017,ID 
83846,Mullan,Idaho ,SHOSHONE,16,079,ID 
83844,Moscow,Idaho ,LATAH,16,057,ID 
83841,Laclede,Idaho ,BONNER,16,017,ID 
83847,Naples,Idaho ,BOUNDARY,16,021,ID 
83843,Moscow,Idaho ,LATAH,16,057,ID 
83845,Moyie Springs,Idaho ,BOUNDARY,16,021,ID 
83848,Nordman,Idaho ,BONNER,16,017,ID 
83842,Medimont,Idaho ,KOOTENAI,16,055,ID 
83849,Osburn,Idaho ,SHOSHONE,16,079,ID 
83854,Post Falls,Idaho ,KOOTENAI,16,055,ID 
83852,Ponderay,Idaho ,BONNER,16,017,ID 
83855,Potlatch,Idaho ,LATAH,16,057,ID 
83850,Pinehurst,Idaho ,SHOSHONE,16,079,ID 
83853,Porthill,Idaho ,BOUNDARY,16,021,ID 
83856,Priest River,Idaho ,BONNER,16,017,ID 
83851,Plummer,Idaho ,BENEWAH,16,009,ID 
83857,Princeton,Idaho ,LATAH,16,057,ID 
83858,Rathdrum,Idaho ,KOOTENAI,16,055,ID 
83867,Silverton,Idaho ,SHOSHONE,16,079,ID 
83865,Colburn,Idaho ,BONNER,16,017,ID 
83866,Santa,Idaho ,BENEWAH,16,009,ID 
83860,Sagle,Idaho ,BONNER,16,017,ID 
83864,Sandpoint,Idaho ,BONNER,16,017,ID 
83861,Saint Maries,Idaho ,BENEWAH,16,009,ID 
83869,Spirit Lake,Idaho ,KOOTENAI,16,055,ID 
83871,Troy,Idaho ,LATAH,16,057,ID 
83868,Smelterville,Idaho ,SHOSHONE,16,079,ID 
83876,Worley,Idaho ,KOOTENAI,16,055,ID 
83872,Viola,Idaho ,LATAH,16,057,ID 
83870,Tensed,Idaho ,BENEWAH,16,009,ID 
83873,Wallace,Idaho ,SHOSHONE,16,079,ID 
83874,Murray,Idaho ,SHOSHONE,16,079,ID 
83877,Post Falls,Idaho ,KOOTENAI,16,055,ID 
