63567,Worthington,Missouri ,PUTNAM,29,171,MO 
63625,Black,Missouri ,REYNOLDS,29,179,MO 
63630,Cadet,Missouri ,WASHINGTON,29,221,MO 
63631,Caledonia,Missouri ,WASHINGTON,29,221,MO 
63627,Bloomsdale,Missouri ,SAINTE GENEVIEVE,29,186,MO 
63632,Cascade,Missouri ,WAYNE,29,223,MO 
63626,Blackwell,Missouri ,SAINT FRANCOIS,29,187,MO 
63629,Bunker,Missouri ,REYNOLDS,29,179,MO 
63633,Centerville,Missouri ,REYNOLDS,29,179,MO 
63628,Bonne Terre,Missouri ,SAINT FRANCOIS,29,187,MO 
63637,Doe Run,Missouri ,SAINT FRANCOIS,29,187,MO 
63640,Farmington,Missouri ,SAINT FRANCOIS,29,187,MO 
63638,Ellington,Missouri ,REYNOLDS,29,179,MO 
63648,Irondale,Missouri ,WASHINGTON,29,221,MO 
63645,Fredericktown,Missouri ,MADISON,29,123,MO 
63636,Des Arc,Missouri ,IRON,29,093,MO 
63650,Ironton,Missouri ,IRON,29,093,MO 
63660,Mineral Point,Missouri ,WASHINGTON,29,221,MO 
63655,Marquand,Missouri ,MADISON,29,123,MO 
63653,Leadwood,Missouri ,SAINT FRANCOIS,29,187,MO 
63662,Patton,Missouri ,BOLLINGER,29,017,MO 
63654,Lesterville,Missouri ,REYNOLDS,29,179,MO 
63656,Middle Brook,Missouri ,IRON,29,093,MO 
63651,Knob Lick,Missouri ,SAINT FRANCOIS,29,187,MO 
63663,Pilot Knob,Missouri ,IRON,29,093,MO 
63666,Reynolds,Missouri ,REYNOLDS,29,179,MO 
63664,Potosi,Missouri ,WASHINGTON,29,221,MO 
63670,Sainte Genevieve,Missouri ,SAINTE GENEVIEVE,29,186,MO 
63665,Redford,Missouri ,REYNOLDS,29,179,MO 
63675,Vulcan,Missouri ,IRON,29,093,MO 
63674,Tiff,Missouri ,WASHINGTON,29,221,MO 
63673,Saint Mary,Missouri ,SAINTE GENEVIEVE,29,186,MO 
63701,Cape Girardeau,Missouri ,CAPE GIRARDEAU,29,031,MO 
63702,Cape Girardeau,Missouri ,CAPE GIRARDEAU,29,031,MO 
63703,Cape Girardeau,Missouri ,CAPE GIRARDEAU,29,031,MO 
63735,Bell City,Missouri ,STODDARD,29,207,MO 
63736,Benton,Missouri ,SCOTT,29,201,MO 
63737,Brazeau,Missouri ,PERRY,29,157,MO 
63730,Advance,Missouri ,STODDARD,29,207,MO 
63738,Brownwood,Missouri ,STODDARD,29,207,MO 
63732,Altenburg,Missouri ,CAPE GIRARDEAU,29,031,MO 
63739,Burfordville,Missouri ,CAPE GIRARDEAU,29,031,MO 
63740,Chaffee,Missouri ,SCOTT,29,201,MO 
63742,Commerce,Missouri ,SCOTT,29,201,MO 
63745,Dutchtown,Missouri ,CAPE GIRARDEAU,29,031,MO 
63743,Daisy,Missouri ,CAPE GIRARDEAU,29,031,MO 
63744,Delta,Missouri ,CAPE GIRARDEAU,29,031,MO 
63746,Farrar,Missouri ,PERRY,29,157,MO 
63747,Friedheim,Missouri ,CAPE GIRARDEAU,29,031,MO 
63748,Frohna,Missouri ,PERRY,29,157,MO 
63750,Gipsy,Missouri ,BOLLINGER,29,017,MO 
63751,Glenallen,Missouri ,BOLLINGER,29,017,MO 
63760,Leopold,Missouri ,BOLLINGER,29,017,MO 
63752,Gordonville,Missouri ,CAPE GIRARDEAU,29,031,MO 
63755,Jackson,Missouri ,CAPE GIRARDEAU,29,031,MO 
63758,Kelso,Missouri ,SCOTT,29,201,MO 
63763,Mc Gee,Missouri ,WAYNE,29,223,MO 
63764,Marble Hill,Missouri ,BOLLINGER,29,017,MO 
63766,Millersville,Missouri ,CAPE GIRARDEAU,29,031,MO 
63767,Morley,Missouri ,SCOTT,29,201,MO 
63774,Perkins,Missouri ,SCOTT,29,201,MO 
63770,Old Appleton,Missouri ,CAPE GIRARDEAU,29,031,MO 
63776,Mc Bride,Missouri ,PERRY,29,157,MO 
63769,Oak Ridge,Missouri ,CAPE GIRARDEAU,29,031,MO 
63771,Oran,Missouri ,SCOTT,29,201,MO 
63775,Perryville,Missouri ,PERRY,29,157,MO 
63779,Pocahontas,Missouri ,CAPE GIRARDEAU,29,031,MO 
63780,Scott City,Missouri ,SCOTT,29,201,MO 
63785,Whitewater,Missouri ,CAPE GIRARDEAU,29,031,MO 
63781,Sedgewickville,Missouri ,BOLLINGER,29,017,MO 
63784,Vanduser,Missouri ,SCOTT,29,201,MO 
63801,Sikeston,Missouri ,SCOTT,29,201,MO 
63782,Sturdivant,Missouri ,BOLLINGER,29,017,MO 
63783,Uniontown,Missouri ,PERRY,29,157,MO 
63787,Zalma,Missouri ,BOLLINGER,29,017,MO 
63820,Anniston,Missouri ,MISSISSIPPI,29,133,MO 
63822,Bernie,Missouri ,STODDARD,29,207,MO 
63821,Arbyrd,Missouri ,DUNKLIN,29,069,MO 
63827,Bragg City,Missouri ,PEMISCOT,29,155,MO 
63824,Blodgett,Missouri ,SCOTT,29,201,MO 
63823,Bertrand,Missouri ,MISSISSIPPI,29,133,MO 
63826,Braggadocio,Missouri ,PEMISCOT,29,155,MO 
63825,Bloomfield,Missouri ,STODDARD,29,207,MO 
63828,Canalou,Missouri ,NEW MADRID,29,143,MO 
63829,Cardwell,Missouri ,DUNKLIN,29,069,MO 
63841,Dexter,Missouri ,STODDARD,29,207,MO 
63830,Caruthersville,Missouri ,PEMISCOT,29,155,MO 
63833,Catron,Missouri ,NEW MADRID,29,143,MO 
63834,Charleston,Missouri ,MISSISSIPPI,29,133,MO 
63840,Deering,Missouri ,PEMISCOT,29,155,MO 
63839,Cooter,Missouri ,PEMISCOT,29,155,MO 
63837,Clarkton,Missouri ,DUNKLIN,29,069,MO 
63845,East Prairie,Missouri ,MISSISSIPPI,29,133,MO 
63847,Gibson,Missouri ,DUNKLIN,29,069,MO 
63848,Gideon,Missouri ,NEW MADRID,29,143,MO 
63850,Grayridge,Missouri ,STODDARD,29,207,MO 
63852,Holcomb,Missouri ,DUNKLIN,29,069,MO 
63851,Hayti,Missouri ,PEMISCOT,29,155,MO 
63853,Holland,Missouri ,PEMISCOT,29,155,MO 
63849,Gobler,Missouri ,PEMISCOT,29,155,MO 
63846,Essex,Missouri ,STODDARD,29,207,MO 
63855,Hornersville,Missouri ,DUNKLIN,29,069,MO 
63860,Kewanee,Missouri ,NEW MADRID,29,143,MO 
63857,Kennett,Missouri ,DUNKLIN,29,069,MO 
63866,Marston,Missouri ,NEW MADRID,29,143,MO 
63868,Morehouse,Missouri ,NEW MADRID,29,143,MO 
63867,Matthews,Missouri ,NEW MADRID,29,143,MO 
63863,Malden,Missouri ,DUNKLIN,29,069,MO 
63862,Lilbourn,Missouri ,NEW MADRID,29,143,MO 
63869,New Madrid,Missouri ,NEW MADRID,29,143,MO 
63870,Parma,Missouri ,NEW MADRID,29,143,MO 
63874,Risco,Missouri ,NEW MADRID,29,143,MO 
63876,Senath,Missouri ,DUNKLIN,29,069,MO 
63875,Rives,Missouri ,DUNKLIN,29,069,MO 
63873,Portageville,Missouri ,NEW MADRID,29,143,MO 
63877,Steele,Missouri ,PEMISCOT,29,155,MO 
63878,Tallapoosa,Missouri ,NEW MADRID,29,143,MO 
63880,Whiteoak,Missouri ,DUNKLIN,29,069,MO 
63881,Wolf Island,Missouri ,MISSISSIPPI,29,133,MO 
63901,Poplar Bluff,Missouri ,BUTLER,29,023,MO 
63879,Wardell,Missouri ,PEMISCOT,29,155,MO 
63931,Briar,Missouri ,RIPLEY,29,181,MO 
63882,Wyatt,Missouri ,MISSISSIPPI,29,133,MO 
63902,Poplar Bluff,Missouri ,BUTLER,29,023,MO 
63932,Broseley,Missouri ,BUTLER,29,023,MO 
63933,Campbell,Missouri ,DUNKLIN,29,069,MO 
63934,Clubb,Missouri ,WAYNE,29,223,MO 
63935,Doniphan,Missouri ,RIPLEY,29,181,MO 
63937,Ellsinore,Missouri ,CARTER,29,035,MO 
63936,Dudley,Missouri ,STODDARD,29,207,MO 
63941,Fremont,Missouri ,CARTER,29,035,MO 
63940,Fisk,Missouri ,BUTLER,29,023,MO 
63939,Fairdealing,Missouri ,RIPLEY,29,181,MO 
63942,Gatewood,Missouri ,RIPLEY,29,181,MO 
63952,Mill Spring,Missouri ,WAYNE,29,223,MO 
63943,Grandin,Missouri ,CARTER,29,035,MO 
63945,Harviell,Missouri ,BUTLER,29,023,MO 
63950,Lodi,Missouri ,WAYNE,29,223,MO 
63953,Naylor,Missouri ,RIPLEY,29,181,MO 
63944,Greenville,Missouri ,WAYNE,29,223,MO 
63951,Lowndes,Missouri ,WAYNE,29,223,MO 
63954,Neelyville,Missouri ,BUTLER,29,023,MO 
63956,Patterson,Missouri ,WAYNE,29,223,MO 
63955,Oxly,Missouri ,RIPLEY,29,181,MO 
63960,Puxico,Missouri ,STODDARD,29,207,MO 
63965,Van Buren,Missouri ,CARTER,29,035,MO 
63961,Qulin,Missouri ,BUTLER,29,023,MO 
63957,Piedmont,Missouri ,WAYNE,29,223,MO 
63964,Silva,Missouri ,WAYNE,29,223,MO 
63962,Rombauer,Missouri ,BUTLER,29,023,MO 
63966,Wappapello,Missouri ,WAYNE,29,223,MO 
64001,Alma,Missouri ,LAFAYETTE,29,107,MO 
64002,Lees Summit,Missouri ,JACKSON,29,095,MO 
63967,Williamsville,Missouri ,WAYNE,29,223,MO 
64014,Blue Springs,Missouri ,JACKSON,29,095,MO 
64013,Blue Springs,Missouri ,JACKSON,29,095,MO 
64012,Belton,Missouri ,CASS,29,037,MO 
64011,Bates City,Missouri ,LAFAYETTE,29,107,MO 
64015,Blue Springs,Missouri ,JACKSON,29,095,MO 
64017,Camden,Missouri ,RAY,29,177,MO 
64016,Buckner,Missouri ,JACKSON,29,095,MO 
64020,Concordia,Missouri ,LAFAYETTE,29,107,MO 
64018,Camden Point,Missouri ,PLATTE,29,165,MO 
64021,Corder,Missouri ,LAFAYETTE,29,107,MO 
64019,Centerview,Missouri ,JOHNSON,29,101,MO 
64022,Dover,Missouri ,LAFAYETTE,29,107,MO 
64024,Excelsior Springs,Missouri ,CLAY,29,047,MO 
64036,Henrietta,Missouri ,RAY,29,177,MO 
64030,Grandview,Missouri ,JACKSON,29,095,MO 
64037,Higginsville,Missouri ,LAFAYETTE,29,107,MO 
64035,Hardin,Missouri ,RAY,29,177,MO 
64034,Greenwood,Missouri ,JACKSON,29,095,MO 
64028,Farley,Missouri ,PLATTE,29,165,MO 
64040,Holden,Missouri ,JOHNSON,29,101,MO 
64029,Grain Valley,Missouri ,JACKSON,29,095,MO 
64048,Holt,Missouri ,CLAY,29,047,MO 
64050,Independence,Missouri ,JACKSON,29,095,MO 
64051,Independence,Missouri ,JACKSON,29,095,MO 
64052,Independence,Missouri ,JACKSON,29,095,MO 
64055,Independence,Missouri ,JACKSON,29,095,MO 
64056,Independence,Missouri ,JACKSON,29,095,MO 
64053,Independence,Missouri ,JACKSON,29,095,MO 
64054,Independence,Missouri ,JACKSON,29,095,MO 
64058,Independence,Missouri ,JACKSON,29,095,MO 
64057,Independence,Missouri ,JACKSON,29,095,MO 
64060,Kearney,Missouri ,CLAY,29,047,MO 
64061,Kingsville,Missouri ,JOHNSON,29,101,MO 
64062,Lawson,Missouri ,RAY,29,177,MO 
64065,Lees Summit,Missouri ,JACKSON,29,095,MO 
64064,Lees Summit,Missouri ,JACKSON,29,095,MO 
64063,Lees Summit,Missouri ,JACKSON,29,095,MO 
