66438,Home,Kansas ,MARSHALL,20,117,KS 
66439,Horton,Kansas ,BROWN,20,013,KS 
66434,Hiawatha,Kansas ,BROWN,20,013,KS 
66441,Junction City,Kansas ,GEARY,20,061,KS 
66449,Leonardville,Kansas ,RILEY,20,161,KS 
66442,Fort Riley,Kansas ,GEARY,20,061,KS 
66502,Manhattan,Kansas ,RILEY,20,161,KS 
66503,Manhattan,Kansas ,RILEY,20,161,KS 
66506,Manhattan,Kansas ,RILEY,20,161,KS 
66451,Lyndon,Kansas ,OSAGE,20,139,KS 
66501,Mc Farland,Kansas ,WABAUNSEE,20,197,KS 
66505,Manhattan,Kansas ,RILEY,20,161,KS 
66508,Marysville,Kansas ,MARSHALL,20,117,KS 
66507,Maple Hill,Kansas ,WABAUNSEE,20,197,KS 
66509,Mayetta,Kansas ,JACKSON,20,085,KS 
66512,Meriden,Kansas ,JEFFERSON,20,087,KS 
66515,Morrill,Kansas ,BROWN,20,013,KS 
66517,Ogden,Kansas ,RILEY,20,161,KS 
66510,Melvern,Kansas ,OSAGE,20,139,KS 
66516,Netawaka,Kansas ,JACKSON,20,085,KS 
66518,Oketo,Kansas ,MARSHALL,20,117,KS 
66514,Milford,Kansas ,GEARY,20,061,KS 
66520,Olsburg,Kansas ,POTTAWATOMIE,20,149,KS 
66521,Onaga,Kansas ,POTTAWATOMIE,20,149,KS 
66522,Oneida,Kansas ,NEMAHA,20,131,KS 
66526,Paxico,Kansas ,WABAUNSEE,20,197,KS 
66528,Quenemo,Kansas ,OSAGE,20,139,KS 
66527,Powhattan,Kansas ,BROWN,20,013,KS 
66524,Overbrook,Kansas ,OSAGE,20,139,KS 
66523,Osage City,Kansas ,OSAGE,20,139,KS 
66531,Riley,Kansas ,RILEY,20,161,KS 
66532,Robinson,Kansas ,BROWN,20,013,KS 
66533,Rossville,Kansas ,SHAWNEE,20,177,KS 
66537,Scranton,Kansas ,OSAGE,20,139,KS 
66535,Saint George,Kansas ,POTTAWATOMIE,20,149,KS 
66536,Saint Marys,Kansas ,POTTAWATOMIE,20,149,KS 
66538,Seneca,Kansas ,NEMAHA,20,131,KS 
66539,Silver Lake,Kansas ,SHAWNEE,20,177,KS 
66540,Soldier,Kansas ,JACKSON,20,085,KS 
66541,Summerfield,Kansas ,MARSHALL,20,117,KS 
66534,Sabetha,Kansas ,NEMAHA,20,131,KS 
66542,Tecumseh,Kansas ,SHAWNEE,20,177,KS 
66544,Vermillion,Kansas ,MARSHALL,20,117,KS 
66547,Wamego,Kansas ,POTTAWATOMIE,20,149,KS 
66546,Wakarusa,Kansas ,SHAWNEE,20,177,KS 
66543,Vassar,Kansas ,OSAGE,20,139,KS 
66549,Westmoreland,Kansas ,POTTAWATOMIE,20,149,KS 
66548,Waterville,Kansas ,MARSHALL,20,117,KS 
66550,Wetmore,Kansas ,NEMAHA,20,131,KS 
66552,Whiting,Kansas ,JACKSON,20,085,KS 
66601,Topeka,Kansas ,SHAWNEE,20,177,KS 
66604,Topeka,Kansas ,SHAWNEE,20,177,KS 
66603,Topeka,Kansas ,SHAWNEE,20,177,KS 
66554,Randolph,Kansas ,RILEY,20,161,KS 
66606,Topeka,Kansas ,SHAWNEE,20,177,KS 
66607,Topeka,Kansas ,SHAWNEE,20,177,KS 
66605,Topeka,Kansas ,SHAWNEE,20,177,KS 
66610,Topeka,Kansas ,SHAWNEE,20,177,KS 
66608,Topeka,Kansas ,SHAWNEE,20,177,KS 
66609,Topeka,Kansas ,SHAWNEE,20,177,KS 
66611,Topeka,Kansas ,SHAWNEE,20,177,KS 
66612,Topeka,Kansas ,SHAWNEE,20,177,KS 
66614,Topeka,Kansas ,SHAWNEE,20,177,KS 
66616,Topeka,Kansas ,SHAWNEE,20,177,KS 
66615,Topeka,Kansas ,SHAWNEE,20,177,KS 
66620,Topeka,Kansas ,SHAWNEE,20,177,KS 
66622,Topeka,Kansas ,SHAWNEE,20,177,KS 
66621,Topeka,Kansas ,SHAWNEE,20,177,KS 
66617,Topeka,Kansas ,SHAWNEE,20,177,KS 
66619,Topeka,Kansas ,SHAWNEE,20,177,KS 
66618,Topeka,Kansas ,SHAWNEE,20,177,KS 
66625,Topeka,Kansas ,SHAWNEE,20,177,KS 
66624,Topeka,Kansas ,SHAWNEE,20,177,KS 
66636,Topeka,Kansas ,SHAWNEE,20,177,KS 
66626,Topeka,Kansas ,SHAWNEE,20,177,KS 
66647,Topeka,Kansas ,SHAWNEE,20,177,KS 
66629,Topeka,Kansas ,SHAWNEE,20,177,KS 
66667,Topeka,Kansas ,SHAWNEE,20,177,KS 
66630,Topeka,Kansas ,SHAWNEE,20,177,KS 
66675,Topeka,Kansas ,SHAWNEE,20,177,KS 
66683,Topeka,Kansas ,SHAWNEE,20,177,KS 
66699,Topeka,Kansas ,SHAWNEE,20,177,KS 
66701,Fort Scott,Kansas ,BOURBON,20,011,KS 
66716,Bronson,Kansas ,BOURBON,20,011,KS 
66710,Altoona,Kansas ,WILSON,20,205,KS 
66712,Arma,Kansas ,CRAWFORD,20,037,KS 
66714,Benedict,Kansas ,WILSON,20,205,KS 
66711,Arcadia,Kansas ,CRAWFORD,20,037,KS 
66713,Baxter Springs,Kansas ,CHEROKEE,20,021,KS 
66717,Buffalo,Kansas ,WILSON,20,205,KS 
66720,Chanute,Kansas ,NEOSHO,20,133,KS 
66724,Cherokee,Kansas ,CRAWFORD,20,037,KS 
66732,Elsmore,Kansas ,ALLEN,20,001,KS 
66725,Columbus,Kansas ,CHEROKEE,20,021,KS 
66728,Crestline,Kansas ,CHEROKEE,20,021,KS 
66734,Farlington,Kansas ,CRAWFORD,20,037,KS 
66735,Franklin,Kansas ,CRAWFORD,20,037,KS 
66736,Fredonia,Kansas ,WILSON,20,205,KS 
66733,Erie,Kansas ,NEOSHO,20,133,KS 
66738,Fulton,Kansas ,BOURBON,20,011,KS 
66742,Gas,Kansas ,ALLEN,20,001,KS 
66741,Garland,Kansas ,BOURBON,20,011,KS 
66740,Galesburg,Kansas ,NEOSHO,20,133,KS 
66743,Girard,Kansas ,CRAWFORD,20,037,KS 
66746,Hepler,Kansas ,CRAWFORD,20,037,KS 
66739,Galena,Kansas ,CHEROKEE,20,021,KS 
66748,Humboldt,Kansas ,ALLEN,20,001,KS 
66749,Iola,Kansas ,ALLEN,20,001,KS 
66751,La Harpe,Kansas ,ALLEN,20,001,KS 
66755,Moran,Kansas ,ALLEN,20,001,KS 
66756,Mulberry,Kansas ,CRAWFORD,20,037,KS 
66753,Mc Cune,Kansas ,CRAWFORD,20,037,KS 
66754,Mapleton,Kansas ,BOURBON,20,011,KS 
66757,Neodesha,Kansas ,WILSON,20,205,KS 
66760,Opolis,Kansas ,CRAWFORD,20,037,KS 
66758,Neosho Falls,Kansas ,COFFEY,20,031,KS 
66762,Pittsburg,Kansas ,CRAWFORD,20,037,KS 
66761,Piqua,Kansas ,WOODSON,20,207,KS 
66772,Savonburg,Kansas ,ALLEN,20,001,KS 
66770,Riverton,Kansas ,CHEROKEE,20,021,KS 
66771,Saint Paul,Kansas ,NEOSHO,20,133,KS 
66767,Prescott,Kansas ,LINN,20,107,KS 
66769,Redfield,Kansas ,BOURBON,20,011,KS 
66763,Frontenac,Kansas ,CRAWFORD,20,037,KS 
66773,Scammon,Kansas ,CHEROKEE,20,021,KS 
66778,Treece,Kansas ,CHEROKEE,20,021,KS 
66776,Thayer,Kansas ,NEOSHO,20,133,KS 
66775,Stark,Kansas ,NEOSHO,20,133,KS 
66780,Walnut,Kansas ,CRAWFORD,20,037,KS 
66779,Uniontown,Kansas ,BOURBON,20,011,KS 
66781,Weir,Kansas ,CHEROKEE,20,021,KS 
66777,Toronto,Kansas ,WOODSON,20,207,KS 
66782,West Mineral,Kansas ,CHEROKEE,20,021,KS 
66783,Yates Center,Kansas ,WOODSON,20,207,KS 
66830,Admire,Kansas ,LYON,20,111,KS 
66801,Emporia,Kansas ,LYON,20,111,KS 
66834,Alta Vista,Kansas ,WABAUNSEE,20,197,KS 
66835,Americus,Kansas ,LYON,20,111,KS 
66838,Burdick,Kansas ,MORRIS,20,127,KS 
66833,Allen,Kansas ,LYON,20,111,KS 
66839,Burlington,Kansas ,COFFEY,20,031,KS 
66840,Burns,Kansas ,MARION,20,115,KS 
66842,Cassoday,Kansas ,BUTLER,20,015,KS 
66843,Cedar Point,Kansas ,CHASE,20,017,KS 
66849,Dwight,Kansas ,MORRIS,20,127,KS 
66846,Council Grove,Kansas ,MORRIS,20,127,KS 
66845,Cottonwood Falls,Kansas ,CHASE,20,017,KS 
66851,Florence,Kansas ,MARION,20,115,KS 
66850,Elmdale,Kansas ,CHASE,20,017,KS 
66852,Gridley,Kansas ,COFFEY,20,031,KS 
66853,Hamilton,Kansas ,GREENWOOD,20,073,KS 
66854,Hartford,Kansas ,LYON,20,111,KS 
66856,Lebo,Kansas ,COFFEY,20,031,KS 
66855,Lamont,Kansas ,GREENWOOD,20,073,KS 
66857,Le Roy,Kansas ,COFFEY,20,031,KS 
66858,Lincolnville,Kansas ,MARION,20,115,KS 
66860,Madison,Kansas ,GREENWOOD,20,073,KS 
66859,Lost Springs,Kansas ,MARION,20,115,KS 
66861,Marion,Kansas ,MARION,20,115,KS 
66862,Matfield Green,Kansas ,CHASE,20,017,KS 
66863,Neal,Kansas ,GREENWOOD,20,073,KS 
66864,Neosho Rapids,Kansas ,LYON,20,111,KS 
66865,Olpe,Kansas ,LYON,20,111,KS 
66868,Reading,Kansas ,LYON,20,111,KS 
66869,Strong City,Kansas ,CHASE,20,017,KS 
66866,Peabody,Kansas ,MARION,20,115,KS 
66870,Virgil,Kansas ,GREENWOOD,20,073,KS 
66871,Waverly,Kansas ,COFFEY,20,031,KS 
66872,White City,Kansas ,MORRIS,20,127,KS 
